112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,November 02 2014,November 03 2014,November 04 2014,November 05 2014,November 06 2014,November 07 2014,November 08 2014
EAST LEG,6514,8381,8787,8833,8745,9336,8752
NORTH LEG,17370,26011,26934,27028,26842,28869,23312
SOUTH LEG,17500,24283,25703,25611,25501,27149,22341
WEST LEG,5383,7431,7368,7208,7194,8013,6791
TOTAL,46767,66106,68792,68680,68282,73367,61196
