112 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,June 15 2014,,June 16 2014,,June 17 2014,,June 18 2014,,June 19 2014,,June 20 2014,,June 21 2014,
TIME,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74
0:00,45,68,25,29,23,39,27,27,34,37,30,54,43,63
1:00,35,38,11,13,15,19,15,26,14,31,11,19,26,43
2:00,16,21,5,15,7,18,8,25,13,14,11,18,15,25
3:00,13,15,6,5,6,10,8,17,5,11,10,15,13,12
4:00,9,10,7,15,4,13,11,11,9,24,6,16,7,17
5:00,2,8,21,35,19,29,15,36,7,36,16,29,8,16
6:00,10,17,52,72,57,75,46,79,42,73,44,77,24,35
7:00,20,34,130,148,114,176,129,155,130,150,96,143,33,50
8:00,25,50,189,238,208,253,176,226,177,204,167,200,69,114
9:00,61,178,128,195,149,222,144,198,136,197,142,199,90,170
10:00,95,181,154,212,148,188,132,212,152,232,129,229,152,222
11:00,122,238,148,259,149,216,149,243,162,239,154,239,168,287
12:00,145,291,191,302,171,282,173,306,187,290,196,329,186,367
13:00,169,334,181,329,217,329,215,302,219,355,205,350,208,366
14:00,187,315,205,308,188,310,145,297,208,337,213,350,220,383
15:00,183,285,206,298,206,314,200,312,197,322,254,343,221,318
16:00,184,263,229,305,238,325,221,302,230,322,247,362,191,291
17:00,152,270,229,339,241,313,235,339,245,327,255,354,205,304
18:00,171,261,235,307,240,297,215,292,227,351,272,346,183,258
19:00,117,195,188,299,197,286,202,279,179,282,221,320,145,235
20:00,92,185,138,233,133,238,153,224,156,237,154,238,121,191
21:00,80,135,114,166,116,188,120,171,122,183,123,181,113,158
22:00,64,93,67,88,75,122,78,114,82,108,107,163,84,119
23:00,40,70,42,66,36,68,44,64,53,72,75,93,67,95
TOTAL,2037,3555,2901,4276,2957,4330,2861,4257,2986,4434,3138,4667,2592,4139
