112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,June 15 2014,June 16 2014,June 17 2014,June 18 2014,June 19 2014,June 20 2014,June 21 2014
EAST LEG,7204,8808,8636,9019,9159,9127,8391
NORTH LEG,19939,27441,27890,28840,29410,29404,24242
SOUTH LEG,18924,25361,26120,27124,26984,26643,23701
WEST LEG,5592,7177,7287,7118,7420,7805,6731
TOTAL,51659,68787,69933,72101,72973,72979,63065
