112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,July 13 2014,July 14 2014,July 15 2014,July 16 2014,July 17 2014,July 18 2014,July 19 2014
EAST LEG,7033,8853,8880,9125,9135,9282,7449
NORTH LEG,19184,27984,28319,29384,28720,29009,22721
SOUTH LEG,18912,26355,27329,27735,27439,27261,22308
WEST LEG,5359,7181,7230,7448,7469,7926,6299
TOTAL,50488,70373,71758,73692,72763,73478,58777
