112 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,July 13 2014,,July 14 2014,,July 15 2014,,July 16 2014,,July 17 2014,,July 18 2014,,July 19 2014,
TIME,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50
0:00,80,96,45,48,52,60,49,62,54,55,62,87,94,99
1:00,39,46,30,31,26,30,31,42,26,39,34,39,53,69
2:00,38,40,23,10,19,21,23,22,22,26,21,21,43,34
3:00,24,31,13,13,13,15,21,17,11,20,10,14,29,18
4:00,21,16,6,16,12,15,7,22,9,10,10,10,15,23
5:00,16,11,17,29,11,31,9,30,10,35,14,35,9,20
6:00,12,20,63,52,56,49,49,46,64,58,54,53,21,25
7:00,24,32,90,103,107,106,102,138,117,123,87,140,49,58
8:00,68,81,129,145,135,147,212,202,149,163,120,155,76,104
9:00,110,170,151,176,138,169,191,213,129,197,150,197,115,169
10:00,147,232,190,215,172,208,190,194,191,236,175,220,197,210
11:00,224,235,217,281,201,259,215,261,188,264,233,274,220,292
12:00,232,291,230,271,251,271,241,276,224,284,259,297,270,301
13:00,272,335,269,338,279,323,275,332,279,283,328,367,283,317
14:00,242,326,274,310,279,312,278,337,264,324,314,314,293,204
15:00,237,287,310,338,300,344,311,350,307,343,331,358,272,217
16:00,242,300,313,364,327,365,303,364,402,385,384,327,263,207
17:00,246,312,421,459,407,402,407,404,439,449,391,436,265,319
18:00,219,277,451,434,417,439,429,422,445,426,393,405,235,286
19:00,196,199,334,369,335,376,290,361,330,349,336,373,207,266
20:00,173,183,212,245,227,263,234,297,234,284,223,284,179,200
21:00,126,130,190,186,198,207,180,205,185,181,183,218,166,184
22:00,105,111,135,131,139,166,133,164,134,170,139,148,116,151
23:00,85,94,88,88,85,116,84,100,110,108,121,138,91,115
TOTAL,3178,3855,4201,4652,4186,4694,4264,4861,4323,4812,4372,4910,3561,3888
