112 and Canyon
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,July 13 2014,,,July 14 2014,,,July 15 2014,,,July 16 2014,,,July 17 2014,,,July 18 2014,,,July 19 2014,,
TIME,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3
0:00,176,142,148,105,68,118,111,94,141,111,90,149,132,105,135,147,100,157,139,111,178
1:00,86,83,98,43,42,71,58,52,68,60,46,63,55,62,58,60,64,55,81,81,88
2:00,49,47,50,26,34,57,31,40,55,30,38,56,45,38,70,44,44,81,49,58,57
3:00,42,30,34,36,42,69,40,46,66,38,33,71,35,43,65,34,38,63,42,29,61
4:00,36,34,37,64,71,179,74,75,188,60,76,174,80,61,151,79,69,164,48,38,90
5:00,53,49,83,192,239,499,205,233,519,229,255,550,228,253,525,166,265,528,87,67,155
6:00,86,78,159,502,509,800,552,537,817,552,555,804,499,559,775,462,485,723,131,128,224
7:00,197,135,201,730,724,866,713,754,854,825,797,876,735,773,808,742,705,741,254,175,298
8:00,240,202,238,757,808,750,743,826,767,1013,945,711,783,812,771,828,832,679,340,256,398
9:00,324,281,306,614,617,687,602,635,682,721,749,649,601,635,636,632,641,637,462,398,532
10:00,490,424,483,486,492,510,517,497,565,586,567,526,553,567,549,566,577,539,473,423,559
11:00,490,452,447,484,480,497,496,490,495,540,540,491,503,483,508,526,494,511,534,553,520
12:00,472,482,505,462,454,500,463,498,485,470,459,502,481,478,492,542,549,488,544,531,500
13:00,471,484,504,490,486,472,461,485,467,506,583,472,490,512,462,516,544,458,512,554,513
14:00,444,408,448,511,554,496,487,566,522,477,515,524,511,539,506,501,550,519,467,535,526
15:00,382,390,417,499,579,532,501,567,541,502,557,535,515,556,495,503,591,560,471,490,508
16:00,372,392,437,468,577,538,431,569,546,477,575,574,491,624,583,494,567,534,435,482,543
17:00,365,422,481,419,555,573,459,572,548,436,557,608,440,624,612,444,565,541,400,432,495
18:00,400,373,431,409,520,547,371,537,558,380,497,532,389,507,552,422,508,500,426,426,475
19:00,335,321,376,363,409,476,339,452,486,361,419,488,378,454,502,405,433,524,418,416,437
20:00,273,243,325,329,299,341,307,283,332,287,301,355,290,294,350,355,349,364,309,294,334
21:00,229,182,267,213,210,263,223,233,267,222,215,247,236,240,279,280,284,279,258,240,297
22:00,201,181,212,192,195,258,210,191,251,222,204,275,242,224,242,246,235,282,248,208,282
23:00,159,133,157,179,142,206,155,152,166,172,136,166,156,111,172,194,181,224,201,186,211
TOTAL,6372,5968,6844,8573,9106,10305,8549,9384,10386,9277,9709,10398,8868,9554,10298,9188,9670,10151,7329,7111,8281
