176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,December 14 2014,December 15 2014,December 16 2014,December 17 2014,December 18 2014,December 19 2014,December 20 2014
EAST LEG,11434,14775,14888,15008,14950,16383,13412
NORTH LEG,13274,19732,20421,20465,20623,21937,15828
SOUTH LEG,6157,10973,11143,11247,11102,11488,7224
WEST LEG,7326,9294,9486,9611,9694,10430,8516
TOTAL,38191,54774,55938,56331,56369,60238,44980
