112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,August 03 2014,August 04 2014,August 05 2014,August 06 2014,August 07 2014,August 08 2014,August 09 2014
EAST LEG,7457,8775,8820,8468,8809,9284,7798
NORTH LEG,19448,28369,28607,28595,28374,29312,23265
SOUTH LEG,19508,26690,27421,26699,27048,28127,23136
WEST LEG,5814,7322,7266,7192,7358,7837,6441
TOTAL,52227,71156,72114,70954,71589,74560,60640
