112 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,September 28 2014,,September 29 2014,,September 30 2014,,October 01 2014,,October 02 2014,,October 03 2014,,October 04 2014,
TIME,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50
0:00,68,67,33,42,41,46,39,46,43,50,42,49,76,76
1:00,42,60,11,21,25,33,24,30,26,33,24,27,51,54
2:00,31,39,13,19,11,21,19,20,19,17,21,23,35,32
3:00,34,22,7,18,16,16,13,13,12,13,12,13,29,31
4:00,17,15,10,7,15,11,10,15,8,19,12,15,9,15
5:00,12,18,8,29,17,21,21,36,16,24,12,30,17,16
6:00,12,13,49,51,61,55,60,49,48,48,43,51,21,31
7:00,25,25,109,111,96,114,94,131,97,102,106,111,33,29
8:00,43,71,161,160,152,159,158,151,160,182,153,178,70,85
9:00,65,153,177,178,204,171,168,188,207,159,168,183,121,211
10:00,155,245,180,234,191,206,199,240,236,219,233,223,256,365
11:00,200,246,226,237,183,251,240,266,270,269,285,289,241,316
12:00,226,330,227,290,188,310,244,272,274,284,300,316,265,338
13:00,319,350,272,288,206,300,191,349,322,334,338,321,313,355
14:00,293,364,252,301,210,334,203,336,349,335,380,348,294,372
15:00,225,323,304,320,313,338,251,336,316,356,393,379,303,362
16:00,280,324,349,355,199,345,256,365,391,390,378,386,289,368
17:00,251,271,429,466,281,390,343,463,577,469,450,435,209,254
18:00,255,305,462,462,487,424,474,402,620,528,487,454,267,291
19:00,205,245,316,347,350,359,356,365,363,351,350,390,228,263
20:00,170,197,202,250,263,274,257,266,234,255,229,274,212,238
21:00,144,164,168,157,154,180,196,185,166,186,166,187,119,122
22:00,77,93,96,98,114,126,98,143,110,122,122,146,120,130
23:00,57,71,57,59,78,49,60,67,58,71,118,133,78,99
TOTAL,3206,4011,4118,4500,3855,4533,3974,4734,4922,4816,4822,4961,3656,4453
