112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,September 28 2014,September 29 2014,September 30 2014,October 01 2014,October 02 2014,October 03 2014,October 04 2014
EAST LEG,7217,8618,8388,8708,9738,9783,8109
NORTH LEG,19077,26393,27851,28322,28643,29783,23389
SOUTH LEG,18445,24770,24635,26032,27092,28135,22431
WEST LEG,5508,7209,7186,7405,7664,8083,6837
TOTAL,50247,66990,68060,70467,73137,75784,60766
