176 and Canyon
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,May 25 2014,,,May 26 2014,,,May 27 2014,,,May 28 2014,,,May 29 2014,,,May 30 2014,,,May 31 2014,,
TIME,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3
0:00,80,109,61,55,72,60,43,60,33,81,127,98,73,125,100,104,126,87,124,142,113
1:00,37,76,34,36,45,42,20,29,13,25,51,31,26,40,28,45,57,35,49,66,33
2:00,34,38,23,21,37,23,14,30,18,30,44,37,25,44,27,27,50,50,37,35,33
3:00,15,27,18,15,24,18,19,47,22,36,47,26,30,40,34,31,40,33,16,30,22
4:00,20,32,23,23,24,21,60,95,56,54,90,78,75,95,51,81,95,51,26,49,33
5:00,23,53,19,24,42,29,225,296,200,199,310,226,216,274,209,201,277,221,52,77,60
6:00,36,79,52,71,97,74,364,536,432,366,518,444,400,485,416,358,495,368,108,157,90
7:00,59,132,91,88,144,108,445,707,599,498,723,623,483,705,599,447,709,565,177,251,189
8:00,100,122,82,81,150,105,466,684,592,466,724,656,481,698,598,461,697,595,207,318,243
9:00,137,228,143,142,182,142,352,539,443,367,550,499,389,552,425,415,502,415,301,395,337
10:00,226,317,246,177,251,185,296,426,363,322,449,378,352,439,390,366,499,398,324,453,379
11:00,225,343,268,211,347,235,288,398,345,270,429,367,308,391,333,355,433,372,357,484,390
12:00,268,339,261,263,399,300,261,390,306,281,389,328,285,356,330,312,404,374,318,493,352
13:00,296,382,271,280,375,291,279,414,360,284,346,317,318,397,346,324,411,360,350,471,361
14:00,230,383,296,273,411,300,314,390,307,290,397,332,300,389,378,363,384,360,336,481,333
15:00,223,350,253,240,349,265,348,497,428,355,484,429,358,497,424,419,547,453,362,438,335
16:00,224,316,244,271,307,245,383,509,468,379,458,440,371,466,428,487,523,454,402,417,305
17:00,215,278,216,272,365,269,371,463,432,366,455,443,369,459,404,423,539,416,351,400,337
18:00,186,296,209,219,305,235,348,441,401,351,398,361,383,451,400,417,501,420,340,420,300
19:00,163,245,211,214,243,187,286,371,278,267,331,271,289,316,287,372,378,340,274,359,286
20:00,110,200,148,154,241,174,201,253,188,163,208,172,182,203,197,251,272,207,219,256,210
21:00,113,194,125,150,184,161,130,190,136,174,168,120,185,178,135,194,217,182,183,248,169
22:00,78,147,114,97,161,134,110,160,114,105,144,113,125,149,113,167,185,150,160,193,170
23:00,50,116,82,79,106,75,88,112,78,98,127,81,87,128,81,121,169,124,134,171,112
TOTAL,3148,4802,3490,3456,4861,3678,5711,8037,6612,5827,7967,6870,6110,7877,6733,6741,8510,7030,5207,6804,5192
