176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,May 25 2014,May 26 2014,May 27 2014,May 28 2014,May 29 2014,May 30 2014,May 31 2014
EAST LEG,10291,10272,14598,14639,15014,16345,14082
NORTH LEG,11440,11995,20360,20664,20720,22281,17203
SOUTH LEG,5224,5536,11153,11429,11551,11489,8105
WEST LEG,6289,6135,8850,8815,9072,10040,8618
TOTAL,33244,33938,54961,55547,56357,60155,48008
