112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,May 04 2014,May 05 2014,May 06 2014,May 07 2014,May 08 2014,May 09 2014,May 10 2014
EAST LEG,7456,8844,8835,9052,9106,9608,9587
NORTH LEG,18518,27214,28145,29102,27249,28421,24028
SOUTH LEG,17960,24844,26013,27243,25837,26165,23251
WEST LEG,5606,7426,7438,7599,7430,8137,7733
TOTAL,49540,68328,70431,72996,69622,72331,64599
