112 and Canyon
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,September 21 2014,,,September 22 2014,,,September 23 2014,,,September 24 2014,,,September 25 2014,,,September 26 2014,,,September 27 2014,,
TIME,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3
0:00,138,143,184,77,64,91,116,60,128,112,73,132,125,70,138,107,69,130,154,120,173
1:00,78,78,67,29,37,34,58,41,50,51,34,44,31,32,49,46,37,57,68,53,84
2:00,53,51,54,24,26,44,29,43,60,26,30,53,25,32,64,32,29,69,43,41,43
3:00,31,35,41,30,35,62,45,30,69,33,34,69,43,36,73,35,40,67,24,35,52
4:00,38,31,39,55,70,179,74,74,177,73,78,178,78,65,171,76,84,174,50,36,84
5:00,48,47,75,199,265,537,185,267,574,213,264,562,207,259,549,204,251,528,76,73,166
6:00,105,86,127,560,528,845,566,543,801,543,546,809,537,555,832,464,489,757,175,129,256
7:00,175,135,190,765,753,846,772,780,876,690,705,838,760,745,856,695,694,800,251,201,325
8:00,190,148,226,734,847,756,776,830,800,737,771,780,727,774,765,751,746,765,335,257,434
9:00,322,298,353,678,694,656,697,691,669,638,687,666,653,687,667,590,603,590,415,382,501
10:00,514,458,563,489,511,536,506,506,529,489,514,530,498,540,537,523,523,547,540,483,519
11:00,538,557,515,461,433,511,459,424,485,446,440,507,443,412,485,486,446,525,554,517,580
12:00,451,475,463,391,445,465,440,416,434,424,419,464,432,433,487,491,471,489,554,541,328
13:00,473,532,507,442,492,491,411,447,469,365,401,485,412,437,452,488,500,471,579,589,537
14:00,401,489,507,428,517,534,397,471,510,354,475,549,429,510,526,430,530,508,521,616,537
15:00,301,368,376,257,255,256,462,495,502,466,557,506,475,526,519,455,573,528,485,526,520
16:00,266,374,417,463,545,522,481,511,487,478,544,517,454,532,538,493,601,517,450,578,504
17:00,282,342,607,464,563,519,428,510,495,447,499,501,442,549,584,450,602,575,372,580,641
18:00,435,543,604,387,512,490,395,446,444,416,493,464,413,514,471,447,542,484,427,567,667
19:00,369,343,442,360,388,416,282,356,378,367,385,427,375,437,442,440,514,468,458,439,477
20:00,307,304,352,282,259,302,254,246,263,269,276,331,285,250,287,371,295,339,336,316,360
21:00,231,213,258,200,194,248,186,200,220,183,203,281,216,200,242,236,214,294,269,242,306
22:00,148,139,237,155,148,219,176,171,207,166,129,195,176,170,251,228,223,281,229,163,248
23:00,137,92,141,138,98,120,125,103,150,133,105,160,126,93,158,198,158,219,164,166,199
TOTAL,6031,6281,7345,8068,8679,9679,8320,8661,9777,8119,8662,10048,8362,8858,10143,8736,9234,10182,7529,7650,8541
