112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,September 21 2014,September 22 2014,September 23 2014,September 24 2014,September 25 2014,September 26 2014,September 27 2014
EAST LEG,7356,8219,8926,8828,8617,9123,7734
NORTH LEG,19657,26426,26758,26829,27363,28152,23720
SOUTH LEG,19639,24168,25452,25711,25331,25915,22959
WEST LEG,5422,7010,7366,7444,7301,8047,6582
TOTAL,52074,65823,68502,68812,68612,71237,60995
