112 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,September 21 2014,,September 22 2014,,September 23 2014,,September 24 2014,,September 25 2014,,September 26 2014,,September 27 2014,
TIME,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74
0:00,74,79,21,54,22,26,25,33,26,33,32,28,36,60
1:00,46,40,7,10,9,19,11,16,8,18,12,20,18,28
2:00,10,20,10,12,8,12,9,8,8,9,10,12,18,18
3:00,8,14,5,6,11,2,7,6,14,6,6,9,10,21
4:00,8,15,7,18,8,24,13,16,9,13,10,8,11,10
5:00,5,13,20,23,27,33,30,29,24,29,31,37,11,17
6:00,9,21,49,77,53,77,54,68,65,69,73,79,12,25
7:00,17,32,115,143,129,169,152,183,148,181,127,176,25,58
8:00,24,62,224,241,254,249,304,292,262,278,244,251,69,99
9:00,89,213,167,210,158,249,188,227,160,233,193,226,90,147
10:00,108,208,148,240,160,243,143,208,144,174,152,261,131,219
11:00,128,260,168,237,185,248,158,223,131,223,163,255,164,320
12:00,149,285,189,293,192,288,197,300,190,302,210,337,175,359
13:00,217,330,188,308,184,318,186,303,202,316,188,302,231,357
14:00,153,273,181,331,161,320,231,311,170,284,223,334,182,357
15:00,132,239,111,140,195,325,208,274,210,296,239,341,196,323
16:00,103,188,235,293,239,328,214,309,235,338,276,356,203,298
17:00,118,196,228,315,252,320,245,327,260,323,238,377,179,304
18:00,156,265,219,365,224,278,242,300,211,325,263,374,171,272
19:00,126,219,215,381,199,286,220,324,187,288,212,335,158,286
20:00,130,184,150,210,174,208,141,225,156,209,165,224,113,223
21:00,76,128,96,125,106,146,106,135,109,142,115,162,92,157
22:00,66,79,61,80,70,74,70,89,77,95,91,142,80,107
23:00,50,57,35,49,56,48,35,49,46,65,55,73,56,86
TOTAL,2002,3420,2849,4161,3076,4290,3189,4255,3052,4249,3328,4719,2431,4151
