176 and Canyon
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,June 29 2014,,,June 30 2014,,,July 01 2014,,,July 02 2014,,,July 03 2014,,,July 04 2014,,,July 05 2014,,
TIME,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3
0:00,71,94,72,59,73,54,98,109,91,100,109,90,99,111,95,91,130,87,239,413,281
1:00,38,61,48,26,33,26,42,64,30,37,50,36,45,57,31,37,62,38,131,204,135
2:00,27,43,34,30,35,22,40,43,32,24,41,31,28,55,35,31,38,34,51,80,55
3:00,25,34,20,22,44,23,37,56,19,34,45,29,34,56,35,19,25,20,12,42,27
4:00,17,37,19,69,87,59,79,99,72,75,93,69,65,85,55,19,46,28,17,41,25
5:00,40,52,26,232,256,224,229,270,211,225,244,226,223,233,204,50,64,49,39,48,27
6:00,54,85,54,363,499,397,384,477,417,374,450,418,338,430,368,75,96,79,56,79,64
7:00,106,163,123,487,695,597,491,661,611,479,640,580,414,583,491,112,154,112,96,138,111
8:00,128,151,108,400,693,563,422,769,627,453,597,526,473,581,465,114,193,120,129,167,141
9:00,190,262,168,372,492,436,366,590,421,340,499,386,341,488,404,191,275,180,170,245,159
10:00,286,366,251,334,437,395,326,522,398,306,443,397,324,444,379,235,336,213,213,311,231
11:00,258,402,266,305,420,359,353,407,342,312,402,301,346,451,408,256,357,220,276,369,266
12:00,285,386,281,306,392,305,334,438,328,283,394,351,325,448,381,279,371,251,259,377,265
13:00,333,373,293,337,396,340,293,385,370,306,371,337,328,447,394,270,358,282,299,407,278
14:00,292,355,304,338,391,350,312,414,329,310,415,361,358,474,363,237,373,241,282,396,291
15:00,304,381,300,419,455,415,388,435,411,396,487,422,361,504,461,311,348,228,307,352,267
16:00,289,383,263,417,510,462,372,483,415,390,484,430,356,468,399,277,308,228,271,330,238
17:00,273,344,258,430,511,400,400,469,382,408,524,423,365,408,362,240,323,212,253,326,240
18:00,229,297,256,439,458,327,419,458,367,422,453,390,327,398,354,235,250,221,273,300,217
19:00,227,296,226,348,387,269,340,388,261,344,401,296,321,305,279,232,228,176,237,276,197
20:00,171,233,185,238,251,189,234,244,219,208,244,207,276,269,234,155,218,142,178,232,184
21:00,140,175,147,168,195,157,154,190,150,195,196,159,191,222,174,151,169,110,145,197,143
22:00,96,157,109,95,154,128,145,193,149,159,172,153,153,186,129,113,163,123,124,180,136
23:00,90,139,94,88,144,80,117,153,117,123,185,105,127,179,129,154,254,197,95,143,109
TOTAL,3969,5269,3905,6322,8008,6577,6375,8317,6769,6303,7939,6723,6218,7882,6629,3884,5139,3591,4152,5653,4087
