176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,June 29 2014,June 30 2014,July 01 2014,July 02 2014,July 03 2014,July 04 2014,July 05 2014
EAST LEG,11238,14443,14823,14670,15206,11616,11309
NORTH LEG,13143,20907,21461,20965,20729,12614,13892
SOUTH LEG,6181,11125,11106,11279,10959,6096,6093
WEST LEG,6860,8855,9182,9183,9355,6958,6942
TOTAL,37422,55330,56572,56097,56249,37284,38236
