176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,May 18 2014,May 19 2014,May 20 2014,May 21 2014,May 22 2014,May 23 2014,May 24 2014
EAST LEG,11442,14105,14901,13431,15333,14897,11958
NORTH LEG,13730,19372,21509,18681,21276,20432,14219
SOUTH LEG,6116,11590,11608,10403,11650,10622,6367
WEST LEG,7171,8850,9086,8157,9410,9452,7417
TOTAL,38459,53917,57104,50672,57669,55403,39961
