112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,August 24 2014,August 25 2014,August 26 2014,August 27 2014,August 28 2014,August 29 2014,August 30 2014
EAST LEG,6919,8482,8996,8947,8515,9274,7559
NORTH LEG,19058,28305,28950,28837,28593,28372,20028
SOUTH LEG,19304,26511,27497,28236,26718,26872,19968
WEST LEG,5481,6845,7264,7925,7368,8062,6162
TOTAL,50762,70143,72707,73945,71194,72580,53717
