112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,July 20 2014,July 21 2014,July 22 2014,July 23 2014,July 24 2014,July 25 2014,July 26 2014
EAST LEG,6967,8491,8786,8570,8680,8955,7961
NORTH LEG,18590,28012,27796,26925,28119,29590,23698
SOUTH LEG,18688,26260,26699,24783,26207,27424,23294
WEST LEG,5305,7023,7082,6733,7221,7808,6353
TOTAL,49550,69786,70363,67011,70227,73777,61306
