112 and Canyon
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,July 20 2014,,,July 21 2014,,,July 22 2014,,,July 23 2014,,,July 24 2014,,,July 25 2014,,,July 26 2014,,
TIME,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27
0:00,249,220,178,153,138,94,205,199,154,202,203,129,202,177,129,236,195,148,321,263,212
1:00,191,151,119,109,90,55,126,119,65,134,119,67,117,105,71,135,119,80,199,177,134
2:00,108,106,76,53,44,22,67,66,45,84,60,34,66,68,55,87,73,37,115,102,68
3:00,83,92,64,34,41,27,58,56,29,66,64,43,67,58,33,74,62,38,75,73,46
4:00,54,52,28,49,54,42,59,66,39,82,68,38,60,59,34,70,72,45,55,76,34
5:00,68,41,31,86,74,80,103,101,62,108,105,67,121,105,73,101,110,73,57,66,39
6:00,95,99,65,247,259,197,300,281,216,303,242,201,301,276,199,204,238,201,89,120,63
7:00,92,78,58,345,286,247,367,301,250,360,289,236,381,306,235,329,280,229,129,108,83
8:00,83,117,91,363,295,269,363,285,276,347,333,261,391,322,258,319,302,310,205,158,133
9:00,127,155,101,377,287,247,383,291,216,313,285,268,383,291,257,325,282,262,292,282,210
10:00,271,201,161,371,283,257,426,270,265,391,240,250,445,275,279,424,354,305,342,373,271
11:00,347,293,236,410,303,311,420,309,311,396,281,285,424,300,311,466,321,329,417,359,327
12:00,372,333,263,478,377,385,483,349,351,431,334,344,472,371,360,497,410,418,490,447,382
13:00,459,414,361,525,415,446,516,400,414,479,403,420,536,448,450,549,486,465,529,501,433
14:00,537,470,406,547,480,472,578,508,492,530,449,442,556,490,488,585,492,496,545,507,458
15:00,552,475,422,630,568,557,637,580,549,608,525,518,623,580,553,569,602,592,606,559,475
16:00,530,477,398,743,737,669,706,730,700,664,649,610,558,756,669,564,712,669,570,558,451
17:00,477,469,406,742,845,786,692,784,768,517,791,705,636,769,715,754,766,736,592,558,470
18:00,565,478,412,836,864,793,757,856,776,703,854,734,684,820,745,830,834,755,692,557,474
19:00,479,429,398,960,727,624,933,766,683,478,698,663,679,740,674,971,701,583,764,476,401
20:00,435,368,364,754,471,397,768,461,403,468,526,418,566,542,437,826,509,468,671,412,365
21:00,375,329,276,444,403,346,456,383,365,448,406,346,451,416,381,509,415,342,450,392,372
22:00,297,262,201,378,311,246,374,309,271,371,335,274,392,328,306,422,368,321,425,368,300
23:00,218,215,185,261,237,207,273,243,236,277,239,172,299,258,225,368,327,278,383,322,266
TOTAL,7064,6324,5300,9895,8589,7776,10050,8713,7936,8760,8498,7525,9410,8860,7937,10214,9030,8180,9013,7814,6467
