112 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,July 20 2014,,July 21 2014,,July 22 2014,,July 23 2014,,July 24 2014,,July 25 2014,,July 26 2014,
TIME,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74
0:00,29,59,18,30,29,47,30,40,22,27,30,35,51,70
1:00,22,38,10,13,14,22,15,21,19,17,15,15,25,35
2:00,17,18,12,21,12,9,9,17,9,15,10,18,24,16
3:00,11,25,5,4,7,11,11,8,8,8,10,12,20,23
4:00,5,10,8,14,10,17,9,17,7,17,7,18,1,15
5:00,5,8,10,39,11,32,6,29,13,34,13,35,10,11
6:00,10,13,53,71,51,76,43,63,43,56,57,77,14,27
7:00,17,30,100,159,101,152,129,145,134,141,94,133,32,56
8:00,34,67,180,226,186,222,180,211,178,214,157,199,51,99
9:00,67,195,140,193,139,196,139,199,131,210,118,197,74,168
10:00,90,164,145,203,122,184,130,188,127,191,136,218,119,231
11:00,117,224,153,239,139,248,135,216,165,226,171,288,161,270
12:00,124,279,156,296,192,305,188,294,194,321,183,314,175,310
13:00,162,276,184,316,187,315,172,290,219,333,229,369,185,360
14:00,159,283,207,292,192,318,187,291,202,304,229,353,209,346
15:00,181,311,215,324,211,306,212,282,214,304,234,330,177,298
16:00,148,240,231,305,229,324,220,314,236,326,280,361,195,304
17:00,150,270,228,318,234,329,243,270,219,313,277,362,175,319
18:00,141,227,195,312,231,293,201,266,245,303,276,356,150,244
19:00,123,186,197,284,200,255,171,213,211,292,183,277,130,243
20:00,110,194,128,209,130,222,151,195,129,234,167,232,111,168
21:00,86,141,109,169,112,177,117,153,116,179,131,204,96,173
22:00,51,97,82,114,62,111,78,112,73,128,89,134,86,128
23:00,40,51,37,69,42,68,59,64,43,71,70,105,69,99
TOTAL,1899,3406,2803,4220,2843,4239,2835,3898,2957,4264,3166,4642,2340,4013
