176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,September 21 2014,,September 22 2014,,September 23 2014,,September 24 2014,,September 25 2014,,September 26 2014,,September 27 2014,
TIME,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50
0:00,231,144,101,62,107,60,97,57,124,63,116,73,156,116
1:00,134,92,47,25,72,30,65,37,69,46,71,37,135,64
2:00,89,49,33,17,50,16,41,24,45,18,53,23,81,51
3:00,60,37,28,13,31,16,36,13,43,11,35,14,58,32
4:00,43,24,30,19,43,13,50,18,41,9,41,23,54,26
5:00,51,10,65,27,65,27,53,21,57,31,53,14,48,19
6:00,56,46,107,67,134,66,125,60,141,62,120,60,64,31
7:00,79,46,238,137,252,151,235,174,234,162,247,163,131,74
8:00,130,63,316,243,327,266,319,246,327,252,332,244,197,125
9:00,237,116,387,279,330,274,341,259,338,258,350,274,283,179
10:00,358,201,334,249,324,215,322,220,316,237,326,237,372,263
11:00,426,286,357,265,341,251,359,249,341,251,372,280,452,325
12:00,509,340,395,287,362,282,390,310,404,287,394,285,477,373
13:00,609,440,425,306,460,288,416,312,434,308,464,358,512,406
14:00,554,405,470,358,461,320,455,329,458,349,524,395,548,436
15:00,441,291,464,464,544,451,532,454,561,459,590,527,562,421
16:00,427,277,631,565,631,535,663,593,644,585,725,625,549,413
17:00,377,256,637,731,761,709,803,766,790,743,622,732,569,413
18:00,536,358,824,780,786,703,833,840,830,788,754,704,587,424
19:00,470,321,643,519,690,620,653,595,692,541,692,550,528,342
20:00,440,286,461,332,464,342,462,363,462,392,496,356,515,345
21:00,320,213,343,220,361,296,406,289,356,252,360,259,378,252
22:00,216,161,243,173,262,209,287,224,251,183,364,282,294,202
23:00,140,100,146,103,174,118,171,109,164,106,252,162,261,173
TOTAL,6933,4562,7725,6241,8032,6258,8114,6562,8122,6393,8353,6677,7811,5505
