176 and Canyon
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,September 21 2014,,,September 22 2014,,,September 23 2014,,,September 24 2014,,,September 25 2014,,,September 26 2014,,,September 27 2014,,
TIME,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3
0:00,83,125,79,54,52,49,90,115,90,82,121,84,87,111,91,92,114,91,133,136,112
1:00,39,61,43,17,31,28,32,40,31,22,37,24,21,37,22,22,35,24,60,52,38
2:00,27,44,27,26,25,20,32,45,51,38,37,41,29,53,35,30,48,37,26,45,26
3:00,17,36,23,34,45,21,21,41,41,31,45,32,25,52,32,30,48,33,30,36,17
4:00,18,38,20,62,96,47,77,97,72,75,94,75,67,91,71,57,110,69,28,56,32
5:00,34,47,31,240,283,203,251,287,235,251,290,249,238,276,247,220,281,234,63,79,65
6:00,63,96,64,395,507,441,367,510,446,433,505,437,387,504,449,357,471,385,109,153,123
7:00,91,140,102,472,703,562,483,748,586,488,698,640,500,722,610,462,675,593,158,211,185
8:00,110,149,124,479,736,654,473,728,626,479,657,609,419,692,560,457,666,557,213,268,202
9:00,220,290,200,347,559,457,409,526,457,369,538,450,404,537,441,395,494,433,268,346,285
10:00,303,401,323,267,462,348,298,400,345,324,413,353,302,419,354,323,421,375,337,438,305
11:00,328,386,329,316,363,350,294,383,337,266,358,333,302,365,313,320,414,323,362,486,352
12:00,340,398,327,274,349,319,285,358,316,271,325,306,284,327,289,283,398,329,300,468,361
13:00,329,453,334,267,343,342,261,340,320,290,338,302,264,363,317,277,379,302,339,430,363
14:00,288,383,288,286,379,372,295,351,345,298,391,369,337,357,353,330,404,320,311,467,344
15:00,273,325,219,370,423,439,303,439,397,332,404,370,346,414,394,380,430,408,311,418,315
16:00,279,277,229,362,435,396,347,439,410,373,434,423,367,431,411,384,474,418,351,415,307
17:00,223,263,184,373,469,430,365,423,393,395,449,437,399,479,424,390,465,409,358,385,306
18:00,338,431,335,311,377,345,327,341,321,342,398,418,351,423,359,365,417,373,353,395,315
19:00,252,306,261,263,300,262,248,269,221,238,349,266,285,313,291,299,358,320,308,350,302
20:00,208,239,178,174,206,169,163,208,174,170,242,191,186,211,168,219,302,213,240,313,204
21:00,149,185,139,139,167,114,146,168,115,145,179,111,152,167,110,148,207,152,163,193,134
22:00,82,153,93,117,132,94,104,161,108,110,125,95,112,146,95,119,179,142,133,164,131
23:00,77,98,71,73,112,75,98,102,92,98,107,74,87,110,66,126,172,109,119,135,101
TOTAL,4171,5324,4023,5718,7554,6537,5769,7519,6529,5920,7534,6689,5951,7600,6502,6085,7962,6649,5073,6439,4925
