176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,September 21 2014,September 22 2014,September 23 2014,September 24 2014,September 25 2014,September 26 2014,September 27 2014
EAST LEG,11495,13966,14290,14676,14515,15030,13316
NORTH LEG,13518,19809,19817,20143,20053,20696,16437
SOUTH LEG,6219,10966,10827,11024,11091,11013,7739
WEST LEG,7286,8951,9052,9213,9177,9705,8481
TOTAL,38518,53692,53986,55056,54836,56444,45973
