112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,December 28 2014,December 29 2014,December 30 2014,December 31 2014,January 01 2015,January 02 2015,January 03 2015
EAST LEG,5828,8566,9053,8878,5463,8407,7153
NORTH LEG,16244,26400,27173,27161,15361,24646,20165
SOUTH LEG,16045,24762,25811,26227,15729,23341,19973
WEST LEG,4774,6761,6944,7216,4057,7016,5918
TOTAL,42891,66489,68981,69482,40610,63410,53209
