112 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,December 28 2014,,December 29 2014,,December 30 2014,,December 31 2014,,January 01 2015,,January 02 2015,,January 03 2015,
TIME,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50
0:00,52,52,45,47,35,44,49,49,43,47,55,48,70,67
1:00,46,48,32,26,26,34,35,37,73,63,32,31,50,46
2:00,30,39,15,21,19,21,15,26,88,69,23,26,34,29
3:00,31,32,13,18,16,17,12,17,53,41,13,14,30,32
4:00,16,14,10,18,6,12,14,17,19,20,12,5,17,19
5:00,6,9,23,19,26,17,23,17,17,21,14,17,19,19
6:00,17,15,42,37,55,38,34,48,13,19,44,37,20,13
7:00,21,20,91,109,99,101,60,98,20,15,66,76,29,32
8:00,46,36,97,122,116,135,124,124,16,41,95,111,60,53
9:00,47,69,121,176,129,155,121,149,45,61,110,165,91,102
10:00,138,165,190,199,201,197,181,200,113,94,178,213,168,175
11:00,216,230,330,253,330,265,368,292,194,139,265,294,232,247
12:00,217,257,371,274,346,318,359,321,240,195,291,335,278,299
13:00,306,287,320,341,349,342,370,343,201,228,322,369,288,355
14:00,244,310,321,321,346,366,378,374,193,237,381,345,305,335
15:00,192,200,326,328,349,373,394,426,219,277,358,384,317,338
16:00,153,200,373,388,355,397,369,426,197,244,342,408,276,328
17:00,210,221,410,426,417,428,350,412,216,269,367,413,253,323
18:00,207,262,392,387,443,425,347,367,168,199,281,372,255,238
19:00,168,174,278,311,289,336,242,284,131,190,213,287,188,233
20:00,125,164,174,195,180,226,184,229,120,127,161,180,140,169
21:00,103,144,119,148,145,170,117,140,103,120,126,153,97,127
22:00,79,84,89,89,87,123,83,109,63,88,105,123,94,111
23:00,58,68,59,72,70,79,59,85,54,60,72,75,67,85
TOTAL,2728,3100,4241,4325,4434,4619,4288,4590,2599,2864,3926,4481,3378,3775
