112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,September 14 2014,September 15 2014,September 16 2014,September 17 2014,September 18 2014,September 19 2014,September 20 2014
EAST LEG,7551,9303,9105,9150,9061,9500,9847
NORTH LEG,19800,28159,27843,27999,28037,29643,24228
SOUTH LEG,20136,26538,26635,26892,26165,28841,24193
WEST LEG,5657,7524,7371,7424,7493,8096,6791
TOTAL,53144,71524,70954,71465,70756,76080,65059
