112 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,September 14 2014,,September 15 2014,,September 16 2014,,September 17 2014,,September 18 2014,,September 19 2014,,September 20 2014,
TIME,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74
0:00,59,79,26,41,41,37,30,35,37,43,35,35,45,85
1:00,29,45,15,13,21,18,9,14,18,15,17,17,36,41
2:00,20,34,3,17,11,17,9,11,8,8,8,17,13,31
3:00,11,27,6,5,6,8,9,15,12,6,11,8,8,18
4:00,5,12,6,11,10,26,6,11,8,16,5,15,4,14
5:00,5,12,19,36,15,33,15,38,17,36,18,37,11,13
6:00,5,17,50,74,66,61,51,80,49,69,44,76,17,25
7:00,20,32,119,152,145,167,116,177,140,185,130,173,25,65
8:00,29,64,231,270,248,257,235,252,256,241,231,256,60,110
9:00,84,213,118,187,161,208,173,221,137,219,173,220,77,171
10:00,114,220,123,241,140,225,166,240,143,208,155,232,132,233
11:00,153,257,163,311,143,230,162,240,151,265,180,283,150,298
12:00,160,312,193,273,160,298,185,313,176,300,219,334,191,352
13:00,178,341,183,346,164,320,198,350,215,344,212,302,210,364
14:00,143,278,207,325,180,309,176,310,196,325,248,324,196,384
15:00,142,254,215,342,193,318,193,279,224,300,237,345,190,330
16:00,138,207,219,324,254,337,249,311,236,342,246,357,203,297
17:00,157,265,235,347,238,337,259,326,246,321,262,372,185,354
18:00,164,248,235,354,217,332,233,329,228,307,268,385,195,292
19:00,150,218,231,343,199,287,212,300,197,260,174,302,156,271
20:00,118,187,134,210,142,226,152,207,151,233,179,257,106,195
21:00,87,127,94,158,88,165,102,162,96,161,125,187,105,163
22:00,52,96,80,101,87,92,59,93,66,123,85,130,68,120
23:00,41,48,68,70,59,75,49,62,64,95,75,95,80,102
TOTAL,2064,3593,2973,4551,2988,4383,3048,4376,3071,4422,3337,4759,2463,4328
