112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,July 06 2014,July 07 2014,July 08 2014,July 09 2014,July 10 2014,July 11 2014,July 12 2014
EAST LEG,6636,8927,8948,9121,9281,9443,8166
NORTH LEG,17787,27506,29624,29087,29182,30531,23688
SOUTH LEG,18063,25900,27395,27389,27934,27989,23380
WEST LEG,5119,7243,7261,7064,7431,7939,6498
TOTAL,47605,69576,73228,72661,73828,75902,61732
