176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,August 03 2014,August 04 2014,August 05 2014,August 06 2014,August 07 2014,August 08 2014,August 09 2014
EAST LEG,11749,14342,14255,14419,14467,15205,13228
NORTH LEG,13705,20334,20614,20590,20568,20942,16227
SOUTH LEG,6283,10807,11200,11253,11084,10991,7600
WEST LEG,7327,8741,8941,9024,8720,9715,8035
TOTAL,39064,54224,55010,55286,54839,56853,45090
