176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,August 03 2014,,August 04 2014,,August 05 2014,,August 06 2014,,August 07 2014,,August 08 2014,,August 09 2014,
TIME,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74
0:00,92,104,62,70,65,74,86,95,74,84,80,74,112,112
1:00,66,70,33,29,30,45,41,47,34,57,42,53,68,72
2:00,21,42,19,23,19,25,26,35,22,30,22,17,43,33
3:00,28,32,14,14,22,33,28,24,23,17,19,25,28,22
4:00,15,28,16,12,12,16,10,16,8,20,14,21,21,24
5:00,10,19,34,35,31,36,32,32,34,34,38,39,15,26
6:00,24,27,124,155,116,160,124,175,119,145,123,151,26,38
7:00,40,36,156,215,189,213,174,207,191,202,175,207,56,66
8:00,51,65,204,224,185,225,198,221,189,216,162,204,78,87
9:00,124,90,163,133,160,184,157,208,185,164,173,156,110,125
10:00,158,150,174,163,146,145,163,189,157,175,173,162,167,155
11:00,204,192,177,176,166,171,164,181,191,188,210,206,203,228
12:00,226,200,230,235,225,211,188,215,189,188,235,260,276,273
13:00,278,295,245,248,253,227,238,256,210,237,274,265,244,302
14:00,256,277,258,271,236,252,250,260,231,241,299,322,291,299
15:00,261,297,289,322,312,284,280,276,275,295,345,353,285,300
16:00,257,276,340,317,331,337,314,351,326,337,356,337,277,289
17:00,257,287,344,343,364,381,373,353,356,322,416,406,267,272
18:00,271,284,348,381,389,385,353,385,411,376,388,406,278,272
19:00,264,309,302,403,292,403,338,363,315,339,325,400,275,318
20:00,191,226,227,292,245,285,261,287,244,244,277,313,243,297
21:00,192,201,191,208,218,242,216,257,193,227,237,246,209,220
22:00,160,165,146,143,188,177,178,163,157,177,204,208,151,213
23:00,115,94,107,126,113,123,118,118,140,131,135,162,138,131
TOTAL,3561,3766,4203,4538,4307,4634,4310,4714,4274,4446,4722,4993,3861,4174
