176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,November 23 2014,,November 24 2014,,November 25 2014,,November 26 2014,,November 27 2014,,November 28 2014,,November 29 2014,
TIME,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26
0:00,144,98,57,81,113,93,115,102,110,75,102,60,108,56
1:00,92,41,49,18,44,33,58,39,61,39,60,35,58,28
2:00,47,36,41,16,41,18,49,26,46,23,45,12,61,22
3:00,37,26,21,11,38,18,35,19,39,27,32,12,35,23
4:00,29,15,18,25,36,28,34,41,28,18,37,12,24,15
5:00,27,44,101,128,110,114,102,114,17,24,39,23,52,20
6:00,65,84,259,302,248,300,286,300,29,24,58,72,83,71
7:00,64,55,319,295,303,279,304,257,38,11,105,80,65,57
8:00,60,35,291,238,303,265,269,229,55,43,90,61,69,38
9:00,67,47,254,175,241,204,215,153,82,56,114,82,51,29
10:00,85,57,235,155,207,130,217,155,105,73,144,94,102,52
11:00,140,84,245,163,200,164,268,182,167,121,190,133,147,102
12:00,199,114,281,213,269,199,295,240,235,176,199,153,170,135
13:00,254,168,293,263,295,207,331,311,272,224,268,196,229,144
14:00,257,201,350,348,297,283,417,445,306,231,270,213,241,193
15:00,251,195,345,384,361,402,403,390,288,201,306,214,260,197
16:00,203,138,444,411,424,352,432,398,258,185,291,236,262,196
17:00,250,174,459,415,480,429,486,394,217,138,281,229,259,203
18:00,316,220,530,439,551,460,460,377,255,177,293,201,286,198
19:00,239,165,412,360,459,348,341,276,166,108,266,178,196,137
20:00,186,133,276,205,325,245,262,196,207,136,204,138,199,139
21:00,157,94,198,122,235,158,230,148,164,119,169,117,169,93
22:00,117,84,149,124,164,134,175,106,285,182,166,103,136,86
23:00,98,110,120,133,149,148,138,88,152,99,116,85,134,67
TOTAL,3384,2418,5747,5024,5893,5011,5922,4986,3582,2510,3845,2739,3396,2301
