176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,November 23 2014,November 24 2014,November 25 2014,November 26 2014,November 27 2014,November 28 2014,November 29 2014
EAST LEG,10911,14252,15049,16286,10947,11960,11075
NORTH LEG,12596,19880,20189,20966,13009,14587,12927
SOUTH LEG,5802,10771,10904,10908,6092,6584,5697
WEST LEG,6809,9200,9487,10551,6903,7692,6909
TOTAL,36118,54103,55629,58711,36951,40823,36608
