176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,November 23 2014,,November 24 2014,,November 25 2014,,November 26 2014,,November 27 2014,,November 28 2014,,November 29 2014,
TIME,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74
0:00,84,103,43,45,64,70,82,72,109,98,91,106,77,59
1:00,62,64,28,43,41,34,51,42,59,72,81,65,47,50
2:00,26,46,20,12,22,29,22,32,38,31,53,43,24,29
3:00,28,24,9,18,10,24,16,22,28,26,29,39,15,24
4:00,6,20,12,17,14,16,18,18,16,13,23,36,16,11
5:00,11,14,32,41,42,47,51,63,15,16,24,22,15,19
6:00,22,20,134,195,149,163,108,138,27,32,44,57,26,40
7:00,34,35,190,272,198,249,208,255,33,32,75,81,34,31
8:00,59,69,247,287,233,316,253,295,52,54,92,122,66,70
9:00,102,125,223,281,246,265,216,256,75,92,124,151,66,59
10:00,138,156,198,230,185,213,180,207,127,145,137,168,121,125
11:00,195,200,192,223,191,196,233,253,164,190,198,216,143,167
12:00,198,234,239,234,241,227,280,286,227,275,248,264,200,242
13:00,296,278,243,257,207,274,301,334,279,277,264,292,245,281
14:00,242,277,229,298,246,252,319,363,289,309,265,271,270,260
15:00,207,256,306,327,330,315,317,372,250,208,267,304,283,294
16:00,227,230,351,406,341,365,381,432,218,205,267,259,261,307
17:00,273,303,312,379,336,427,390,474,210,199,262,306,264,315
18:00,299,363,353,400,367,421,412,458,217,223,293,298,255,339
19:00,221,266,289,333,322,324,345,394,157,160,215,238,255,246
20:00,187,226,258,251,277,284,267,310,184,195,208,221,219,203
21:00,129,139,163,167,216,212,192,209,205,228,187,187,149,164
22:00,93,95,125,120,133,140,184,176,261,278,157,138,148,163
23:00,68,59,91,77,120,93,114,150,160,145,100,104,110,102
TOTAL,3207,3602,4287,4913,4531,4956,4940,5611,3400,3503,3704,3988,3309,3600
