176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,November 23 2014,,November 24 2014,,November 25 2014,,November 26 2014,,November 27 2014,,November 28 2014,,November 29 2014,
TIME,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50
0:00,160,121,85,51,98,70,125,61,167,93,143,115,133,97
1:00,119,78,53,22,74,46,63,63,128,55,101,63,85,67
2:00,84,66,40,17,47,25,43,22,68,50,51,36,59,45
3:00,59,40,31,10,28,14,30,15,44,36,48,29,43,30
4:00,44,30,34,16,45,15,45,25,39,21,32,19,38,22
5:00,34,14,50,20,53,34,58,39,25,17,61,77,36,27
6:00,60,29,131,51,128,81,139,58,44,36,109,86,50,34
7:00,76,37,220,155,246,157,247,191,103,54,139,107,83,60
8:00,133,67,307,234,321,240,331,266,138,76,188,146,156,90
9:00,222,129,336,277,325,308,361,296,209,106,252,202,212,91
10:00,312,174,375,270,316,280,386,258,315,147,349,218,325,184
11:00,430,286,351,252,372,290,469,331,441,228,426,300,370,249
12:00,465,322,512,232,407,320,546,434,487,285,455,335,451,296
13:00,578,392,535,240,430,377,531,454,562,364,508,356,482,341
14:00,483,345,498,271,446,384,520,540,606,414,470,363,479,377
15:00,453,357,559,446,561,489,685,617,491,342,480,359,540,361
16:00,409,282,673,594,702,565,825,704,481,280,525,380,500,352
17:00,532,374,780,717,784,715,842,720,362,257,519,386,531,390
18:00,501,323,835,858,855,838,802,612,390,351,488,392,499,361
19:00,435,290,664,561,719,656,658,471,292,246,439,338,450,299
20:00,361,249,402,307,481,378,478,350,288,244,346,265,378,231
21:00,249,193,287,249,331,276,414,261,273,217,285,208,267,181
22:00,174,118,223,171,259,195,303,204,339,326,232,189,227,165
23:00,137,85,149,101,158,110,248,145,228,182,200,145,198,133
TOTAL,6510,4401,8130,6122,8186,6863,9149,7137,6520,4427,6846,5114,6592,4483
