112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,November 30 2014,December 01 2014,December 02 2014,December 03 2014,December 04 2014,December 05 2014,December 06 2014
EAST LEG,7333,9111,9235,9274,8909,9490,8880
NORTH LEG,18014,27613,27703,28139,27492,28840,23630
SOUTH LEG,17149,25828,26822,27016,26451,27665,22437
WEST LEG,5148,7440,7183,7446,7052,7836,6768
TOTAL,47644,69992,70943,71875,69904,73831,61715
