176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,October 19 2014,October 20 2014,October 21 2014,October 22 2014,October 23 2014,October 24 2014,October 25 2014
EAST LEG,11193,13968,14565,14397,14519,15410,13126
NORTH LEG,13257,19359,20089,19653,19871,20605,15764
SOUTH LEG,6077,10687,11125,10815,11206,10906,7216
WEST LEG,7190,8839,9171,8968,9288,9611,8329
TOTAL,37717,52853,54950,53833,54884,56532,44435
