176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,October 19 2014,,October 20 2014,,October 21 2014,,October 22 2014,,October 23 2014,,October 24 2014,,October 25 2014,
TIME,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50
0:00,199,114,103,46,108,58,102,51,109,52,119,66,172,125
1:00,131,75,62,26,65,23,70,23,74,36,65,48,120,84
2:00,94,48,30,17,45,26,45,23,40,28,44,28,89,48
3:00,63,37,26,18,23,21,21,15,28,9,32,15,55,45
4:00,42,25,31,10,38,17,50,18,36,25,36,20,49,21
5:00,35,21,52,31,62,28,44,22,59,32,67,33,45,21
6:00,48,24,142,61,122,51,134,56,114,57,149,72,63,33
7:00,100,39,221,168,235,174,255,170,242,154,240,156,116,49
8:00,139,69,257,263,315,241,297,210,306,241,320,244,184,107
9:00,250,122,327,248,309,260,329,245,349,274,338,271,246,144
10:00,370,234,330,264,306,227,347,211,356,231,346,248,347,236
11:00,394,283,391,265,368,239,330,264,339,255,380,299,436,328
12:00,403,260,420,304,424,379,435,306,435,291,480,349,514,391
13:00,440,320,452,341,469,359,439,340,447,315,493,381,546,408
14:00,532,390,462,327,457,352,442,348,441,337,494,437,568,431
15:00,504,392,553,466,559,442,546,460,529,453,613,502,585,423
16:00,508,335,640,568,646,577,661,572,679,591,702,605,567,422
17:00,524,357,729,747,790,718,777,738,785,719,785,696,593,407
18:00,435,363,679,740,824,750,791,719,816,789,798,729,569,440
19:00,456,300,649,536,712,565,676,511,659,556,719,547,547,370
20:00,424,285,423,331,464,355,436,367,465,389,471,398,420,305
21:00,262,194,348,223,381,284,414,320,351,258,311,289,339,243
22:00,202,124,203,175,256,181,260,225,255,206,313,264,285,217
23:00,143,84,148,115,148,112,162,120,187,120,237,161,224,149
TOTAL,6698,4495,7678,6290,8126,6439,8063,6334,8101,6418,8552,6858,7679,5447
