176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,October 19 2014,,October 20 2014,,October 21 2014,,October 22 2014,,October 23 2014,,October 24 2014,,October 25 2014,
TIME,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26
0:00,92,90,66,70,95,105,104,85,95,92,112,91,145,112
1:00,97,55,40,16,66,22,61,35,63,31,56,29,89,48
2:00,61,40,27,15,47,13,38,19,36,24,31,25,42,29
3:00,44,31,23,13,35,12,41,18,32,19,31,22,35,19
4:00,28,22,28,43,45,46,44,44,36,46,47,43,39,17
5:00,38,39,83,119,103,118,102,117,106,128,98,113,43,57
6:00,67,51,254,294,283,313,284,322,264,319,227,291,91,112
7:00,69,64,304,318,315,320,301,301,305,307,304,275,77,74
8:00,51,43,281,231,288,200,278,220,301,233,274,209,73,55
9:00,82,56,229,175,238,157,214,188,239,187,238,177,121,65
10:00,121,75,204,140,217,149,202,163,239,168,210,133,118,82
11:00,145,83,239,178,245,176,238,146,249,210,227,167,190,107
12:00,193,116,262,216,245,243,251,200,240,191,258,228,269,192
13:00,228,135,278,213,289,253,283,222,297,205,297,230,277,194
14:00,258,190,292,315,311,320,297,266,306,283,325,286,246,214
15:00,268,224,338,392,391,408,413,396,406,420,362,381,274,233
16:00,258,197,444,380,435,388,425,386,463,441,440,354,289,230
17:00,251,181,500,456,468,413,458,372,484,402,500,427,293,242
18:00,276,205,549,486,558,469,529,427,566,453,516,449,341,237
19:00,272,197,423,339,455,387,418,321,440,358,449,350,281,208
20:00,224,141,279,224,308,221,312,245,289,229,317,228,230,169
21:00,177,104,219,159,207,166,252,180,244,157,228,167,219,142
22:00,108,93,154,118,177,140,176,119,175,122,207,145,174,121
23:00,108,129,126,135,136,129,139,163,160,146,186,146,173,128
TOTAL,3516,2561,5642,5045,5957,5168,5860,4955,6035,5171,5940,4966,4129,3087
