112 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,October 19 2014,,October 20 2014,,October 21 2014,,October 22 2014,,October 23 2014,,October 24 2014,,October 25 2014,
TIME,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74
0:00,45,51,16,28,35,24,25,48,26,32,27,31,35,56
1:00,21,32,6,10,19,12,19,29,24,15,22,19,28,28
2:00,23,23,14,14,10,17,6,18,10,11,12,13,14,19
3:00,19,30,6,10,5,9,10,6,6,15,8,14,12,16
4:00,8,14,9,9,12,14,7,19,10,17,8,14,7,11
5:00,4,12,25,31,26,39,22,38,32,33,21,35,6,15
6:00,8,12,74,65,110,23,60,65,75,65,55,58,13,15
7:00,21,36,127,143,143,167,136,157,171,199,119,174,27,41
8:00,27,58,222,247,237,274,246,304,244,289,225,223,50,95
9:00,87,254,128,190,190,237,213,273,161,213,151,213,83,153
10:00,123,219,162,222,152,232,176,269,137,241,165,251,113,226
11:00,111,238,154,244,138,216,138,247,154,232,179,308,158,283
12:00,124,247,186,280,167,281,160,278,172,323,167,335,179,379
13:00,123,271,204,324,180,353,206,330,184,342,229,337,199,376
14:00,149,309,196,284,209,308,217,331,212,322,212,343,241,390
15:00,163,350,228,294,219,306,241,305,236,280,239,331,195,325
16:00,168,284,247,330,206,318,250,307,239,340,276,360,208,364
17:00,160,295,202,318,196,340,254,323,232,320,295,359,199,360
18:00,144,273,227,330,252,349,240,297,227,323,246,368,178,320
19:00,128,218,214,404,209,324,194,261,182,248,226,329,180,264
20:00,94,177,135,206,134,211,124,207,134,189,158,228,120,180
21:00,71,107,122,148,93,144,114,153,108,150,132,165,112,132
22:00,51,80,67,72,64,83,67,77,72,106,80,115,68,124
23:00,38,46,36,51,30,56,44,57,40,61,61,83,48,75
TOTAL,1910,3636,3007,4254,3036,4337,3169,4399,3088,4366,3313,4706,2473,4247
