112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,October 19 2014,October 20 2014,October 21 2014,October 22 2014,October 23 2014,October 24 2014,October 25 2014
EAST LEG,7149,8605,8843,8658,8792,9286,8659
NORTH LEG,18984,26231,27173,26169,26260,28054,22851
SOUTH LEG,17935,24616,25284,25452,25134,26692,21779
WEST LEG,5546,7261,7373,7568,7454,8019,6720
TOTAL,49614,66713,68673,67847,67640,72051,60009
