112 and Canyon
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,October 19 2014,,,October 20 2014,,,October 21 2014,,,October 22 2014,,,October 23 2014,,,October 24 2014,,,October 25 2014,,
TIME,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3
0:00,127,103,129,62,46,78,97,75,134,117,61,132,89,80,146,113,79,132,159,112,169
1:00,75,71,79,44,35,42,40,33,62,46,44,48,36,38,50,51,46,51,54,63,54
2:00,106,76,67,23,28,34,44,27,58,30,25,52,39,26,62,42,26,55,54,37,48
3:00,65,61,54,34,27,53,41,43,59,43,37,63,42,37,71,29,42,60,24,33,71
4:00,44,38,47,71,65,173,76,89,188,87,82,174,80,72,183,57,79,176,47,34,88
5:00,50,34,75,216,268,568,205,264,566,219,261,570,189,275,534,207,242,543,64,54,172
6:00,99,68,127,505,503,811,524,576,795,517,541,812,493,561,774,486,540,833,103,97,208
7:00,162,125,205,721,767,813,756,770,848,704,711,788,689,574,527,693,715,795,225,189,278
8:00,195,146,241,695,771,725,703,800,754,713,765,759,693,765,741,702,736,744,317,266,420
9:00,274,269,340,618,620,596,646,710,657,610,651,638,615,683,600,658,684,625,418,349,468
10:00,471,405,458,486,529,521,527,526,521,519,517,521,556,576,544,530,554,558,510,451,527
11:00,385,336,478,438,403,480,426,398,481,421,427,464,420,425,497,427,552,505,496,535,528
12:00,399,378,433,420,434,426,413,454,381,418,383,449,426,428,427,500,507,463,497,557,486
13:00,387,352,428,471,444,457,479,490,443,457,467,445,495,493,468,496,482,496,543,588,541
14:00,454,511,481,441,494,508,474,506,502,446,508,515,477,551,495,488,540,520,541,591,502
15:00,433,443,547,482,540,478,522,557,464,483,497,463,458,521,488,471,535,506,457,511,484
16:00,334,519,504,481,564,507,399,540,560,459,504,468,489,586,528,519,562,532,489,501,490
17:00,399,481,598,445,551,546,447,535,541,471,528,459,443,525,525,506,591,509,511,549,625
18:00,396,453,515,392,440,550,423,496,493,420,446,450,398,454,463,419,459,497,459,539,511
19:00,353,349,405,330,336,382,384,371,384,373,365,358,342,364,385,431,468,440,435,472,422
20:00,289,271,330,246,212,278,271,261,311,261,234,238,269,240,265,263,267,327,312,286,396
21:00,207,187,255,189,207,197,198,201,240,164,183,238,178,163,221,249,235,259,205,210,256
22:00,148,130,176,168,160,220,158,164,232,142,117,231,165,143,197,216,183,231,198,158,225
23:00,112,96,146,119,93,154,118,98,144,113,101,146,132,109,167,170,148,202,205,182,195
TOTAL,5964,5902,7118,8097,8537,9597,8371,8984,9818,8233,8455,9481,8213,8689,9358,8723,9272,10059,7323,7364,8164
