176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,November 16 2014,,November 17 2014,,November 18 2014,,November 19 2014,,November 20 2014,,November 21 2014,,November 22 2014,
TIME,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50
0:00,184,119,90,62,101,48,108,61,89,56,119,88,148,121
1:00,103,63,59,24,57,27,74,35,57,35,86,35,94,81
2:00,81,33,25,13,44,20,45,24,43,26,53,22,69,65
3:00,56,42,33,15,32,10,38,16,37,22,33,22,48,39
4:00,33,17,43,13,35,13,45,13,35,14,39,10,44,20
5:00,35,17,59,22,67,27,67,30,61,31,73,25,40,22
6:00,55,31,136,56,134,52,128,57,122,68,152,64,79,44
7:00,68,42,206,161,229,157,234,194,238,179,247,170,111,61
8:00,143,55,297,250,309,254,318,260,315,259,332,283,175,108
9:00,208,248,325,370,344,280,332,284,333,286,354,291,264,152
10:00,371,371,374,343,343,242,337,217,364,248,399,247,358,257
11:00,387,333,350,323,381,234,353,264,349,257,398,299,425,303
12:00,391,283,430,336,413,258,434,308,403,271,483,346,532,366
13:00,425,315,440,311,454,334,450,278,495,307,476,375,579,432
14:00,528,402,486,337,431,340,507,354,479,361,506,406,592,425
15:00,552,398,571,451,517,471,551,410,556,456,603,499,620,458
16:00,519,392,650,557,667,560,694,592,698,624,707,610,568,406
17:00,529,347,753,773,805,763,804,779,822,760,781,734,619,457
18:00,517,355,901,763,851,774,892,793,860,786,801,777,620,442
19:00,394,247,656,524,758,578,683,563,713,582,674,503,531,356
20:00,359,215,435,307,470,300,443,311,458,329,492,414,441,286
21:00,268,155,334,230,316,228,376,276,398,262,341,280,307,218
22:00,169,111,233,151,239,169,273,191,249,175,312,239,274,215
23:00,133,77,169,80,140,106,144,99,182,124,222,184,243,166
TOTAL,6508,4668,8055,6472,8137,6245,8330,6409,8356,6518,8683,6923,7781,5500
