176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,November 16 2014,November 17 2014,November 18 2014,November 19 2014,November 20 2014,November 21 2014,November 22 2014
EAST LEG,11176,14527,14382,14739,14874,15606,13281
NORTH LEG,12966,19984,19737,20220,20642,20853,15823
SOUTH LEG,5784,10901,11012,11112,11184,11126,7423
WEST LEG,6900,8974,9062,9246,9374,9698,8190
TOTAL,36826,54386,54193,55317,56074,57283,44717
