176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,August 24 2014,,August 25 2014,,August 26 2014,,August 27 2014,,August 28 2014,,August 29 2014,,August 30 2014,
TIME,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26
0:00,133,89,81,75,110,113,116,100,110,100,117,98,126,88
1:00,80,57,53,27,70,40,72,39,65,42,72,40,86,47
2:00,63,27,38,12,56,23,38,22,56,30,60,40,49,23
3:00,44,18,26,6,45,16,56,12,46,19,37,18,50,23
4:00,32,25,36,33,46,46,42,43,38,48,43,32,37,22
5:00,34,44,93,132,103,125,117,130,100,107,90,105,33,31
6:00,75,99,331,311,330,345,340,322,373,331,253,229,61,56
7:00,67,58,251,244,238,278,270,292,250,279,241,248,67,64
8:00,57,40,264,204,266,224,262,200,264,258,237,202,96,41
9:00,71,36,210,152,216,169,192,182,189,152,198,150,91,44
10:00,93,61,201,151,228,152,227,189,224,142,187,143,108,69
11:00,145,101,258,179,260,175,234,194,206,190,236,173,167,117
12:00,197,114,258,209,248,214,263,207,259,203,281,216,184,135
13:00,245,163,308,251,306,249,323,297,285,226,314,273,242,181
14:00,269,191,358,308,326,323,308,321,296,316,343,305,239,172
15:00,275,242,361,416,370,402,397,427,393,392,413,363,242,196
16:00,240,202,427,409,434,384,456,371,427,375,452,358,274,196
17:00,235,173,494,455,520,472,481,472,487,423,444,374,262,199
18:00,274,202,555,474,528,502,535,518,503,428,505,396,286,190
19:00,240,196,375,331,459,346,426,351,439,390,380,301,225,175
20:00,205,152,293,213,285,232,312,244,310,242,288,237,219,141
21:00,200,149,231,161,243,201,276,179,249,188,266,195,208,159
22:00,175,124,175,138,187,149,222,157,207,140,210,141,202,114
23:00,124,147,158,146,154,157,125,148,170,147,192,122,144,88
TOTAL,3573,2710,5835,5037,6028,5337,6090,5417,5946,5168,5859,4759,3698,2571
