176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,August 24 2014,August 25 2014,August 26 2014,August 27 2014,August 28 2014,August 29 2014,August 30 2014
EAST LEG,11502,13913,14494,14750,14526,14798,11920
NORTH LEG,13452,20104,20859,21187,20711,20361,13638
SOUTH LEG,6283,10872,11365,11507,11114,10618,6269
WEST LEG,7027,8623,9045,9407,9299,9595,7699
TOTAL,38264,53512,55763,56851,55650,55372,39526
