176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,September 07 2014,,September 08 2014,,September 09 2014,,September 10 2014,,September 11 2014,,September 12 2014,,September 13 2014,
TIME,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26
0:00,156,125,75,85,108,100,121,112,121,100,129,97,182,143
1:00,79,45,47,27,47,37,52,30,64,34,53,38,114,56
2:00,50,28,40,9,41,16,41,22,45,22,59,21,72,38
3:00,32,15,35,7,33,9,41,16,30,10,31,15,48,19
4:00,33,18,28,27,39,37,54,40,45,40,45,27,37,20
5:00,38,43,103,120,107,101,98,112,124,104,81,104,63,53
6:00,78,70,282,308,277,309,283,316,294,339,249,274,92,82
7:00,63,43,306,291,327,306,322,307,325,313,298,276,91,71
8:00,57,37,296,300,313,238,319,246,333,247,243,217,95,63
9:00,76,50,244,172,246,190,272,193,269,175,244,196,123,61
10:00,124,57,222,151,197,144,211,148,224,156,233,157,194,117
11:00,156,101,248,155,230,154,223,157,254,165,239,169,233,130
12:00,189,147,253,194,274,191,265,175,273,188,301,206,238,183
13:00,230,162,291,251,290,222,293,221,295,225,345,258,292,216
14:00,248,220,311,324,291,306,352,333,325,312,344,303,288,241
15:00,249,197,407,392,366,395,368,372,389,361,345,395,304,245
16:00,245,186,447,404,465,411,437,402,475,405,439,415,306,224
17:00,239,194,484,423,449,412,476,447,499,498,442,401,282,224
18:00,271,225,518,471,544,442,560,497,524,458,500,429,292,230
19:00,230,182,393,377,418,345,446,354,401,359,401,313,278,195
20:00,240,178,317,227,311,253,313,246,351,226,305,235,243,171
21:00,219,134,205,158,270,191,256,180,280,211,301,204,257,154
22:00,140,116,177,109,178,136,193,157,218,152,218,148,209,158
23:00,129,136,141,160,167,144,164,160,194,169,210,183,190,138
TOTAL,3571,2709,5870,5142,5988,5089,6160,5243,6352,5269,6055,5081,4523,3232
