176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,September 07 2014,September 08 2014,September 09 2014,September 10 2014,September 11 2014,September 12 2014,September 13 2014
EAST LEG,11827,14275,14227,14590,15079,15728,13745
NORTH LEG,14072,19825,20222,20664,21230,21939,17226
SOUTH LEG,6280,11012,11077,11403,11621,11136,7755
WEST LEG,7602,9038,9313,9621,9685,10191,9050
TOTAL,39781,54150,54839,56278,57615,58994,47776
