Year: 2015,Month: 5,Day: 7
,EB,NB,SB,WB
18,176,335,664,143
19,106,255,506,136
20,112,178,377,129
21,76,150,295,79
22,56,110,190,56
23,38,48,83,33

Year: 2015,Month: 7,Day: 22
,EB,NB,SB,WB
0,6,18,35,13
1,11,8,37,12
2,6,18,24,4
3,4,38,15,2
4,10,139,18,9
5,16,252,52,20
6,27,451,98,31
7,61,534,194,71
8,83,444,242,56
9,90,372,237,60
10,74,386,273,96
11,107,396,377,93
12,111,409,427,99
13,113,468,415,102
14,126,362,486,110
15,133,305,442,101
16,168,394,665,117
17,190,437,649,171
18,178,384,612,165
19,127,275,507,129
20,129,188,393,103
21,84,160,300,91
22,51,90,210,53
23,36,43,90,36

Year: 2015,Month: 7,Day: 23
,EB,NB,SB,WB
0,11,14,34,8
1,11,14,34,10
2,4,15,24,4
3,7,31,18,3
4,11,157,22,8
5,12,238,46,18
6,31,442,105,36
7,55,496,191,62
8,80,419,239,60
9,89,422,237,77
10,91,435,270,88
11,104,387,376,86
12,123,430,378,106
13,122,428,462,110
14,120,359,461,96
15,165,401,510,126
16,182,402,623,130
17,187,443,653,171
18,191,419,594,145
19,132,275,548,128
20,134,201,459,125
21,94,163,320,87
22,54,117,196,53
23,34,47,114,35

Year: 2015,Month: 7,Day: 24
,EB,NB,SB,WB
0,11,15,51,9
1,6,14,36,9
2,6,10,24,7
3,6,41,18,5
4,8,128,24,4
5,16,211,41,12
6,28,393,101,25
7,54,492,174,49
8,82,420,212,65
9,71,400,236,68
10,90,436,290,80
11,119,429,353,91
12,139,452,446,95
13,143,435,501,132
14,154,389,506,112
15,157,403,538,133
16,170,424,606,126
17,188,398,660,176
18,142,409,553,159
19,153,289,454,126
20,126,243,407,130
21,87,186,326,103
22,65,124,216,76
23,50,74,169,43

Year: 2015,Month: 7,Day: 25
,EB,NB,SB,WB
0,27,26,65,17
1,13,26,60,19
2,11,14,43,12
3,9,21,23,6
4,8,36,18,3
5,11,53,29,7
6,15,112,59,14
7,32,183,94,37
8,65,292,157,44
9,68,402,218,69
10,105,505,295,90
11,111,521,374,121
12,136,536,465,117
13,142,468,496,145
14,155,431,536,122
15,153,417,556,122
16,172,413,490,128
17,151,393,479,123
18,118,339,451,115
19,108,264,385,107
20,96,215,339,98
21,75,170,281,94
22,64,118,220,63
23,57,70,159,41

Year: 2015,Month: 7,Day: 26
,EB,NB,SB,WB
0,14,28,56,25
1,20,33,63,10
2,20,22,57,13
3,11,11,21,3
4,3,27,19,3
5,6,35,15,6
6,13,72,40,12
7,23,125,50,14
8,45,190,105,30
9,60,313,134,55
10,96,454,218,89
11,111,427,328,97
12,153,445,391,135
13,133,416,459,111
14,127,393,463,110
15,147,373,461,116
16,123,379,416,107
17,113,354,428,113
18,90,255,400,115
19,94,182,306,97
20,78,143,240,82
21,54,103,182,61
22,39,79,107,32
23,24,41,73,23

Year: 2015,Month: 7,Day: 27
,EB,NB,SB,WB
0,12,14,20,9
1,9,16,26,6
2,5,19,20,2
3,3,36,6,6
4,4,125,13,4
5,12,269,53,17
6,26,418,97,40
7,60,511,168,79
8,72,414,249,60
9,81,377,232,78
10,101,358,274,68
11,93,398,335,89
12,137,396,417,103
13,111,437,444,124
14,132,363,494,110
15,168,394,553,116
16,184,417,638,143
17,230,422,705,165
18,170,375,634,168
19,127,253,482,121
20,99,177,378,107
21,76,146,259,86
22,41,97,134,50
23,30,55,103,25

Year: 2015,Month: 7,Day: 28
,EB,NB,SB,WB
0,7,15,38,12
1,11,17,32,6
2,4,18,20,8
3,6,35,18,1
4,7,143,15,8
5,15,269,43,22
6,29,441,107,41
7,57,548,183,74
8,88,438,217,46
9,103,399,231,81
10,97,402,312,89
11,97,386,322,107
12,115,436,392,102
13,123,453,442,117
14,120,378,518,99
15,177,356,565,121
16,182,391,635,136
17,186,429,667,152
18,180,379,592,150
19,127,276,512,151
20,107,199,362,124
21,85,161,276,82
22,45,85,181,51
23,25,49,119,33

Year: 2015,Month: 7,Day: 29
,EB,NB,SB,WB
0,10,15,38,9
1,10,16,36,8
2,8,17,19,9
3,4,38,18,3
4,8,132,15,4
5,10,269,48,19
6,34,438,113,43
7,53,540,182,73
8,87,433,225,71
9,100,404,232,69
10,104,397,328,74
11,124,409,352,94
12,120,399,377,107
13,107,426,442,102
14,133,390,481,98
15,158,398,558,131
16,188,393,609,128
17,197,425,656,153
18,169,373,622,148
19,142,297,527,127
20,89,171,360,117
21,98,141,271,101
22,50,84,179,54
23,28,37,101,35

Year: 2015,Month: 7,Day: 30
,EB,NB,SB,WB
0,13,13,36,10
1,12,15,38,10
2,9,20,29,6
3,7,33,19,5
4,9,166,22,7
5,7,235,43,20
6,30,421,115,41
7,66,536,185,64
8,74,404,232,66
9,105,405,237,84
10,91,427,291,87
11,123,406,378,90
12,137,420,386,95
13,114,439,459,102
14,147,380,520,97
15,150,386,559,117
16,174,395,593,124
17,187,465,648,142
18,175,382,539,137
19,138,306,543,141
20,96,214,436,120
21,77,167,326,91
22,46,87,179,59
23,45,52,107,32

Year: 2015,Month: 7,Day: 31
,EB,NB,SB,WB
0,11,19,31,12
1,16,20,41,14
2,12,15,25,7
3,5,36,27,3
4,5,119,13,2
5,15,221,53,13
6,28,385,115,35
7,68,471,163,63
8,74,435,238,52
9,101,400,238,68
10,114,448,296,81
11,121,451,427,101
12,156,523,406,105
13,137,432,523,125
14,140,435,536,104
15,163,366,616,148
16,194,431,654,158
17,179,450,613,154
18,134,376,551,118
19,132,310,510,133
20,121,241,388,105
21,93,203,352,89
22,69,141,216,71
23,48,95,195,45

Year: 2015,Month: 8,Day: 1
,EB,NB,SB,WB
0,23,38,74,17
1,19,26,58,11
2,12,13,42,9
3,10,19,34,3
4,4,44,17,5
5,8,63,27,11
6,20,133,43,24
7,40,182,127,26
8,73,297,183,32
9,88,440,240,75
10,111,577,351,93
11,132,521,449,109
12,160,576,471,129
13,149,444,521,151
14,132,401,535,109
15,161,424,512,126
16,148,467,529,125
17,150,403,450,138
18,138,370,460,127
19,130,290,359,109
20,106,215,343,104
21,94,166,284,99
22,52,130,226,70
23,49,71,152,41

Year: 2015,Month: 8,Day: 2
,EB,NB,SB,WB
0,16,17,44,19
1,13,23,74,20
2,15,17,43,9
3,9,19,28,5
4,2,29,26,6
5,3,51,20,1
6,9,72,43,20
7,26,119,64,13
8,51,202,112,39
9,64,346,147,46
10,103,409,266,85
11,107,430,324,93
12,121,435,443,126
13,130,447,445,121
14,122,391,462,109
15,137,352,449,113
16,119,377,435,113
17,144,327,438,119
18,122,292,377,124
19,86,248,324,119
20,88,193,293,81
21,64,145,206,64
22,38,81,140,41
23,32,44,107,25

Year: 2015,Month: 8,Day: 3
,EB,NB,SB,WB
0,5,4,35,9
1,9,22,38,8
2,4,24,28,5
3,7,38,18,2
4,5,138,18,4
5,15,252,40,14
6,28,421,99,38
7,72,521,178,71
8,83,428,242,70
9,96,380,235,76
10,94,391,274,77
11,112,404,331,86
12,110,440,416,86
13,133,425,414,95
14,137,410,509,119
15,156,416,544,129
16,191,374,722,162
17,217,436,707,181
18,168,347,631,173
19,134,282,474,118
20,86,209,357,122
21,95,163,246,82
22,41,102,177,54
23,14,49,110,25

Year: 2015,Month: 8,Day: 4
,EB,NB,SB,WB
0,8,17,34,8
1,8,13,31,6
2,4,25,19,5
3,3,33,16,6
4,6,130,13,5
5,10,266,46,15
6,28,463,118,41
7,60,564,175,71
8,88,444,239,79
9,89,423,235,75
10,88,416,304,78
11,112,365,350,100
12,114,436,442,92
13,122,420,450,94
14,137,380,519,124
15,133,415,539,148
16,207,361,678,161
17,213,403,715,187
18,203,364,695,153
19,152,290,500,137
20,135,230,373,132
21,73,145,286,86
22,41,94,175,57
23,25,40,88,29

Year: 2015,Month: 8,Day: 5
,EB,NB,SB,WB
0,6,14,43,7
1,16,11,23,9
2,7,14,22,6
3,4,37,22,3
4,6,139,17,8
5,11,258,49,13
6,25,459,114,29
7,62,532,176,58
8,74,458,252,65
9,114,386,220,71
10,88,422,300,89
11,104,393,373,104
12,122,419,416,102
13,110,465,439,107
14,132,413,512,122
15,139,403,562,105
16,172,373,604,122
17,207,436,700,167
18,181,395,621,176
19,147,279,509,127
20,114,200,386,126
21,87,142,283,91
22,61,111,188,39
23,26,41,104,28

Year: 2015,Month: 8,Day: 6
,EB,NB,SB,WB
0,13,22,41,3
1,15,16,31,14
2,11,16,19,9
3,3,36,12,8
4,7,133,18,4
5,14,249,38,9
6,32,404,110,25
7,52,579,215,64
8,85,401,236,67
9,85,383,251,85
10,82,414,297,102
11,105,404,382,97
12,121,424,428,73
13,142,474,456,103
14,159,400,520,128
15,148,365,551,119
16,212,434,606,143
17,224,454,685,158
18,186,395,654,157
19,137,315,479,124
20,129,208,478,137
21,101,156,320,101
22,54,102,205,61
23,40,44,101,39

Year: 2015,Month: 8,Day: 7
,EB,NB,SB,WB
0,11,27,47,12
1,17,12,45,10
2,5,14,32,12
3,10,35,22,5
4,10,114,23,5
5,19,238,37,13
6,30,368,94,32
7,52,514,192,63
8,87,391,216,72
9,87,399,245,61
10,100,471,329,88
11,101,432,417,98
12,133,483,486,107
13,146,455,451,125
14,127,456,569,137
15,156,427,641,137
16,179,419,703,149
17,184,428,693,175
18,158,424,584,140
19,127,341,452,153
20,125,240,434,117
21,85,179,336,104
22,64,135,221,63
23,50,67,187,43

Year: 2015,Month: 8,Day: 8
,EB,NB,SB,WB
0,11,27,71,16
1,15,31,60,15
2,12,18,44,8
3,12,23,28,4
4,9,38,18,10
5,7,51,23,7
6,12,104,37,13
7,31,196,105,26
8,59,295,167,37
9,76,428,219,86
10,106,478,314,107
11,122,461,432,111
12,119,547,473,137
13,136,469,514,127
14,137,419,527,131
15,155,435,464,121
16,159,379,498,135
17,146,413,443,113
18,115,334,433,123
19,95,218,376,111
20,91,229,297,97
21,72,155,272,79
22,62,123,184,59
23,42,73,135,40

Year: 2015,Month: 8,Day: 9
,EB,NB,SB,WB
0,13,27,62,15
1,17,20,74,19
2,19,27,39,7
3,8,21,26,7
4,7,22,20,6
5,3,46,16,2
6,13,94,36,14
7,30,119,64,20
8,65,203,109,46
9,67,354,158,49
10,101,473,274,90
11,88,461,349,104
12,149,467,459,149
13,118,431,479,113
14,111,406,486,122
15,129,388,450,126
16,138,416,465,108
17,122,383,434,141
18,124,307,420,131
19,94,293,344,113
20,73,208,380,87
21,64,161,245,81
22,53,90,151,44
23,28,42,93,29

Year: 2015,Month: 8,Day: 10
,EB,NB,SB,WB
0,7,12,29,10
1,9,20,25,10
2,4,18,21,3
3,6,33,20,5
4,5,118,18,5
5,13,230,41,13
6,35,435,102,33
7,51,526,166,66
8,78,395,213,54
9,87,410,236,61
10,70,424,278,87
11,114,408,355,81
12,117,445,400,88
13,131,470,428,95
14,122,403,521,96
15,150,390,545,108
16,177,348,612,120
17,207,391,661,147
18,164,346,626,149
19,122,280,510,137
20,128,213,340,122
21,79,155,287,96
22,44,83,147,57
23,41,41,93,32

Year: 2015,Month: 8,Day: 11
,EB,NB,SB,WB
0,8,17,27,19
1,13,18,41,9
2,5,21,24,4
3,6,39,21,8
4,8,116,14,7
5,13,249,43,17
6,27,438,91,41
7,54,553,171,57
8,69,452,233,65
9,105,399,243,72
10,94,398,294,85
11,100,401,360,90
12,113,413,401,94
13,137,450,413,106
14,126,355,495,104
15,168,371,579,129
16,166,381,559,142
17,210,419,681,147
18,168,401,677,156
19,125,278,478,154
20,116,192,379,119
21,81,149,276,108
22,50,80,161,56
23,26,47,100,25

Year: 2015,Month: 8,Day: 12
,EB,NB,SB,WB
0,5,12,36,16
1,13,21,40,11
2,11,16,28,9
3,6,39,15,8
4,5,124,19,8
5,16,248,39,12
6,21,429,95,35
7,52,565,197,58
8,84,403,202,59
9,105,394,275,59
10,88,416,267,89
11,117,399,340,101
12,123,413,420,93
13,119,397,459,89
14,137,372,477,101
15,144,393,539,122
16,190,396,615,131
17,152,444,659,146
18,189,390,665,151
19,127,265,511,141
20,115,244,384,99
21,69,159,237,101
22,38,86,139,52
23,34,44,104,26

Year: 2015,Month: 8,Day: 13
,EB,NB,SB,WB
0,10,8,41,9
1,13,14,38,13
2,2,20,20,6
3,6,35,19,8
4,4,122,23,6
5,19,254,49,18
6,31,433,113,28
7,58,544,200,52
8,69,413,222,64
9,68,382,215,60
10,87,409,291,72
11,99,406,318,101
12,115,435,387,97
13,124,441,442,102
14,123,426,472,98
15,157,424,558,150
16,212,423,606,123
17,227,467,666,169
18,200,402,620,168
19,152,277,500,138
20,118,210,419,129
21,105,158,351,102
22,55,94,173,42
23,40,59,123,53

Year: 2015,Month: 8,Day: 14
,EB,NB,SB,WB
0,8,19,54,8
1,9,19,36,13
2,9,13,29,10
3,1,30,10,4
4,8,107,22,10
5,16,225,46,18
6,25,407,101,26
7,54,493,197,64
8,73,394,200,45
9,96,399,232,67
10,95,434,272,90
11,110,422,379,95
12,124,462,410,98
13,140,478,457,97
14,137,414,584,123
15,137,422,660,162
16,218,486,660,181
17,181,415,684,190
18,149,357,542,142
19,101,224,436,109
20,77,183,288,76
21,65,154,281,78
22,61,118,216,44
23,42,67,177,31

Year: 2015,Month: 8,Day: 15
,EB,NB,SB,WB
0,16,22,63,18
1,13,30,52,13
2,6,27,47,14
3,4,29,22,9
4,6,37,26,6
5,8,75,23,7
6,16,109,45,14
7,32,197,98,28
8,53,313,150,43
9,96,378,212,69
10,99,553,348,89
11,110,552,451,108
12,142,528,514,128
13,155,493,524,132
14,138,436,550,124
15,159,446,522,132
16,139,437,503,153
17,139,405,505,137
18,115,330,471,127
19,122,275,373,105
20,104,247,368,124
21,65,181,307,81
22,58,123,184,63
23,38,68,141,40

Year: 2015,Month: 8,Day: 16
,EB,NB,SB,WB
0,15,21,67,13
1,20,36,44,15
2,4,27,40,13
3,8,19,29,4
4,3,26,17,5
5,4,52,23,5
6,8,62,18,10
7,29,113,55,12
8,60,201,113,31
9,47,347,172,42
10,107,442,259,89
11,120,475,340,96
12,125,518,443,169
13,144,445,444,138
14,126,403,433,133
15,142,405,480,128
16,145,413,433,104
17,125,363,396,144
18,108,313,430,132
19,89,256,331,106
20,88,202,285,93
21,76,148,223,73
22,44,78,158,36
23,22,42,67,28

Year: 2015,Month: 8,Day: 17
,EB,NB,SB,WB
0,5,18,34,12
1,13,23,21,5
2,5,13,15,7
3,3,33,17,2
4,7,130,15,1
5,11,243,48,12
6,27,427,93,28
7,53,492,176,46
8,89,413,228,73
9,82,366,264,75
10,95,422,283,83
11,111,393,359,81
12,123,457,382,101
13,129,460,412,124
14,149,409,470,103
15,166,386,556,113
16,196,372,651,155
17,193,420,708,175
18,157,374,629,150
19,125,300,451,138
20,117,204,363,135
21,77,142,283,85
22,50,77,166,47
23,34,47,100,29

Year: 2015,Month: 8,Day: 18
,EB,NB,SB,WB
0,15,9,32,15
1,9,15,27,11
2,2,14,20,7
3,5,37,15,9
4,5,145,14,1
5,16,255,54,16
6,22,427,97,35
7,57,558,180,57
8,78,420,224,63
9,92,362,221,86
10,89,472,298,83
11,107,413,347,88
12,102,426,420,93
13,106,421,408,95
14,131,394,505,133
15,159,394,566,130
16,184,397,668,142
17,196,416,668,147
18,196,343,621,167
19,142,278,505,153
20,117,204,380,126
21,86,140,278,108
22,44,80,173,33
23,33,55,105,26

Year: 2015,Month: 8,Day: 19
,EB,NB,SB,WB
0,9,14,38,11
1,7,23,38,10
