112 and Canyon
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,November 09 2014,,,November 10 2014,,,November 11 2014,,,November 12 2014,,,November 13 2014,,,November 14 2014,,,November 15 2014,,
TIME,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27
0:00,247,216,158,128,102,81,208,195,155,178,155,115,182,165,99,173,166,115,263,196,158
1:00,155,137,109,82,69,33,116,98,70,104,95,70,103,101,65,113,107,71,123,141,108
2:00,104,92,56,45,43,22,68,54,35,56,55,36,74,73,32,70,69,40,101,83,55
3:00,79,69,44,39,30,23,67,59,42,55,53,36,58,49,34,56,60,25,66,86,54
4:00,53,58,23,44,47,29,57,71,33,68,67,35,72,58,39,66,79,36,67,54,23
5:00,43,40,30,94,86,77,116,98,76,127,108,68,130,125,72,108,110,86,69,54,36
6:00,81,79,36,274,218,172,265,220,157,267,204,165,266,234,179,259,217,158,99,96,63
7:00,89,81,39,359,273,263,347,257,239,391,328,260,404,319,266,375,284,250,133,109,72
8:00,116,94,51,461,336,266,360,266,236,390,345,262,435,330,282,404,364,301,196,152,109
9:00,162,132,69,351,297,225,350,260,257,407,325,313,390,279,262,375,337,291,246,213,181
10:00,259,184,180,376,311,299,377,387,319,342,371,338,358,269,230,403,382,371,307,375,282
11:00,282,260,192,458,320,312,416,365,362,386,327,321,434,310,314,421,370,349,424,392,342
12:00,408,360,255,471,392,379,490,387,392,510,359,401,454,343,342,487,421,427,513,446,407
13:00,480,475,403,501,441,407,526,419,451,544,425,394,38,35,35,568,467,462,557,532,497
14:00,544,474,435,567,479,363,592,505,501,557,498,455,588,490,491,611,556,529,609,578,508
15:00,449,402,335,660,540,495,775,725,540,778,686,562,633,582,524,804,710,609,704,653,507
16:00,394,414,330,765,731,691,787,688,690,757,772,692,736,722,672,778,770,719,680,574,549
17:00,435,414,326,715,807,726,712,790,719,723,804,758,703,845,752,682,770,739,592,625,566
18:00,522,477,397,745,839,768,679,801,728,698,826,780,731,855,810,695,858,758,593,590,546
19:00,448,403,364,706,722,615,674,682,603,694,714,695,673,710,634,701,741,666,564,526,476
20:00,402,351,293,505,448,378,519,508,386,552,500,422,547,529,447,563,531,440,420,355,294
21:00,310,245,211,373,327,304,366,333,256,431,393,326,387,353,298,441,376,352,394,337,296
22:00,194,174,135,284,276,218,286,277,217,331,294,255,343,309,235,349,339,287,382,287,256
23:00,167,168,123,245,238,168,235,211,160,230,219,167,260,217,168,344,287,235,321,333,262
TOTAL,6423,5799,4594,9248,8372,7314,9388,8656,7624,9576,8923,7926,8999,8302,7282,9846,9371,8316,8423,7787,6647
