112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,November 09 2014,November 10 2014,November 11 2014,November 12 2014,November 13 2014,November 14 2014,November 15 2014
EAST LEG,6550,8536,8837,9123,8160,9762,9197
NORTH LEG,16955,26647,27067,27857,25926,29069,23970
SOUTH LEG,16816,24934,25668,26425,24583,27533,22857
WEST LEG,5195,7284,6846,7313,6840,7854,6722
TOTAL,45516,67401,68418,70718,65509,74218,62746
