112 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,August 17 2014,,August 18 2014,,August 19 2014,,August 20 2014,,August 21 2014,,August 22 2014,,August 23 2014,
TIME,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50
0:00,67,89,42,74,48,69,61,49,44,53,58,60,75,102
1:00,43,58,27,26,36,37,30,37,40,36,22,44,55,51
2:00,43,47,21,21,18,16,16,20,26,35,23,22,34,37
3:00,31,26,9,12,3,12,12,17,11,18,8,15,24,31
4:00,13,17,8,11,10,14,15,20,12,10,14,12,13,16
5:00,13,16,21,20,19,35,25,33,23,25,22,20,16,15
6:00,14,13,44,32,46,48,47,48,57,54,52,41,17,19
7:00,25,25,111,106,106,112,101,103,100,107,76,122,46,45
8:00,38,48,122,147,143,165,129,148,128,149,139,160,77,96
9:00,63,98,148,199,128,185,140,175,146,164,118,183,105,163
10:00,130,155,153,211,195,242,176,212,234,245,201,209,190,214
11:00,236,213,222,268,197,259,202,258,189,226,245,290,224,304
12:00,212,296,236,300,244,294,249,288,218,289,266,271,268,315
13:00,279,330,261,318,271,306,269,309,270,274,321,308,303,321
14:00,283,324,282,292,281,316,287,336,291,308,281,296,324,348
15:00,270,302,313,320,309,320,286,326,278,286,351,327,264,297
16:00,270,313,345,389,324,399,338,265,349,382,379,428,297,333
17:00,253,305,403,406,419,432,401,337,413,432,417,441,278,327
18:00,218,260,441,422,429,443,445,453,465,429,369,376,243,294
19:00,188,253,335,352,322,364,310,331,362,352,327,340,226,251
20:00,164,194,260,262,228,252,228,282,211,251,206,245,174,218
21:00,142,142,170,186,177,191,187,235,189,203,169,200,167,195
22:00,126,128,100,138,128,142,136,143,139,137,136,125,140,155
23:00,86,96,62,79,72,80,78,94,84,87,123,128,101,129
TOTAL,3207,3748,4136,4591,4153,4733,4168,4519,4279,4552,4323,4663,3661,4276
