112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,August 17 2014,August 18 2014,August 19 2014,August 20 2014,August 21 2014,August 22 2014,August 23 2014
EAST LEG,6955,8727,8886,8687,8831,8986,7937
NORTH LEG,19753,27985,28621,28401,28627,29051,23177
SOUTH LEG,19973,26176,26702,26777,27693,27865,23042
WEST LEG,5500,7145,7256,7079,7455,7767,6340
TOTAL,52181,70033,71465,70944,72606,73669,60496
