112 and Canyon
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,August 17 2014,,,August 18 2014,,,August 19 2014,,,August 20 2014,,,August 21 2014,,,August 22 2014,,,August 23 2014,,
TIME,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27
0:00,259,249,172,173,165,108,195,159,134,219,181,144,233,184,141,232,193,144,327,281,227
1:00,178,143,108,88,87,62,132,108,73,113,99,60,114,123,74,128,150,75,182,168,117
2:00,107,107,65,70,62,26,59,78,42,91,71,44,75,87,48,97,87,44,118,97,70
3:00,82,74,49,41,53,23,76,53,29,68,57,32,69,49,33,91,62,40,86,79,47
4:00,64,45,44,59,54,28,67,52,35,62,46,30,54,54,37,70,57,28,73,67,33
5:00,43,36,26,116,91,67,122,107,77,134,123,70,135,94,82,118,105,80,78,77,47
6:00,61,66,40,281,242,207,280,267,210,301,254,236,318,265,220,288,228,165,100,104,56
7:00,100,79,59,343,264,227,351,308,240,363,286,264,372,296,231,355,273,219,135,117,87
8:00,129,89,90,342,311,242,404,282,260,403,302,237,393,299,252,376,288,266,185,161,135
9:00,197,169,134,389,292,257,351,277,249,393,281,220,390,306,260,375,298,250,274,202,193
10:00,287,280,190,374,298,255,394,328,268,427,286,283,414,307,263,405,335,315,355,284,231
11:00,394,335,269,431,351,348,435,358,296,434,324,274,425,322,303,388,378,403,417,370,320
12:00,450,408,345,468,407,357,482,384,404,455,352,338,473,392,372,517,463,384,468,426,369
13:00,496,482,377,522,428,445,539,424,394,516,401,422,518,403,468,518,490,454,523,475,450
14:00,523,489,403,583,463,457,543,429,396,564,459,461,574,492,463,581,556,541,565,542,455
15:00,507,435,386,645,547,581,643,594,581,603,588,535,617,605,544,635,618,613,593,567,493
16:00,528,485,397,724,718,649,715,727,672,547,712,685,726,731,656,732,755,695,629,591,512
17:00,560,478,399,784,840,760,762,855,769,765,816,742,746,814,741,762,817,725,596,549,460
18:00,652,463,379,988,914,814,911,864,779,751,840,820,929,835,757,931,860,760,696,554,452
19:00,789,456,371,874,695,581,765,740,670,1007,762,668,1127,731,650,805,732,658,773,507,404
20:00,623,414,330,536,501,415,740,503,425,679,519,471,741,543,499,570,499,458,539,424,369
21:00,375,335,305,411,381,325,432,408,339,420,414,389,465,432,404,437,443,373,432,397,349
22:00,309,264,239,347,283,247,341,337,262,395,344,301,438,348,324,420,361,298,417,370,292
23:00,272,247,183,260,219,180,282,245,190,320,282,222,301,261,251,360,338,300,346,307,251
TOTAL,7985,6628,5360,9849,8666,7661,10021,8887,7794,10030,8799,7948,10647,8973,8073,10191,9386,8288,8907,7716,6419
