112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,April 13 2014,April 14 2014,April 15 2014,April 16 2014,April 17 2014,April 18 2014,April 19 2014
EAST LEG,8043,9371,9094,8886,9069,9394,8660
NORTH LEG,20646,28089,27744,27199,27033,29564,22340
SOUTH LEG,20717,25676,25753,25654,25552,27521,21269
WEST LEG,5947,7525,7448,7231,7202,8280,6853
TOTAL,55353,70661,70039,68970,68856,74759,59122
