176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,July 27 2014,,July 28 2014,,July 29 2014,,July 30 2014,,July 31 2014,,August 01 2014,,August 02 2014,
TIME,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74
0:00,105,105,73,79,76,77,76,99,81,75,100,91,121,120
1:00,81,44,50,42,28,39,40,53,45,58,47,63,61,74
2:00,34,36,20,27,18,21,23,18,29,29,27,30,40,44
3:00,16,22,12,23,16,21,18,25,24,22,29,28,24,35
4:00,12,21,16,12,20,15,13,24,8,19,20,15,19,22
5:00,14,20,32,26,36,33,28,31,36,34,22,34,16,15
6:00,19,27,130,150,127,140,112,164,138,151,122,147,39,44
7:00,38,39,192,200,172,224,194,203,171,236,190,209,79,58
8:00,52,73,169,241,190,226,193,212,176,203,197,207,135,104
9:00,106,103,170,152,178,195,145,187,190,168,161,186,170,142
10:00,155,164,180,164,154,163,161,167,171,200,202,193,210,180
11:00,198,208,167,183,212,186,165,184,192,201,205,236,261,225
12:00,209,231,240,230,213,231,220,216,235,237,235,274,310,261
13:00,245,256,235,246,218,230,209,236,232,265,266,288,328,327
14:00,236,305,248,268,222,238,229,233,217,265,308,318,331,295
15:00,262,301,291,285,280,293,278,278,305,281,324,302,313,335
16:00,249,264,318,305,318,311,346,332,344,345,359,361,302,318
17:00,250,298,341,323,356,360,347,334,366,372,379,397,285,305
18:00,235,275,377,377,339,373,349,377,348,399,387,381,269,304
19:00,221,253,280,356,321,407,363,437,343,361,349,370,269,294
20:00,208,249,223,306,199,273,264,321,233,289,276,303,227,225
21:00,157,193,205,202,208,225,207,239,232,250,249,272,210,253
22:00,131,153,166,143,179,154,169,190,196,198,199,221,172,206
23:00,96,113,117,106,103,110,110,114,111,129,147,158,151,165
TOTAL,3329,3753,4252,4446,4183,4545,4259,4674,4423,4787,4800,5084,4342,4351
