176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,July 27 2014,July 28 2014,July 29 2014,July 30 2014,July 31 2014,August 01 2014,August 02 2014
EAST LEG,11522,13857,14216,14507,14824,15273,13299
NORTH LEG,13884,20542,20813,20557,21403,21009,15887
SOUTH LEG,6199,10755,10993,11063,11360,11084,7444
WEST LEG,7082,8698,8728,8933,9210,9884,8693
TOTAL,38687,53852,54750,55060,56797,57250,45323
