176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,July 27 2014,,July 28 2014,,July 29 2014,,July 30 2014,,July 31 2014,,August 01 2014,,August 02 2014,
TIME,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26
0:00,155,106,82,89,101,100,108,111,110,107,117,115,144,83
1:00,93,53,62,31,68,40,65,45,74,37,73,50,83,58
2:00,68,25,46,18,39,22,45,29,62,34,39,27,72,36
3:00,47,19,25,10,42,10,32,10,37,21,47,38,51,18
4:00,24,14,42,38,43,47,42,46,36,56,58,79,27,17
5:00,33,30,113,108,97,103,135,108,112,92,107,103,47,44
6:00,74,68,314,338,338,346,332,360,339,354,276,319,117,124
7:00,63,55,250,270,245,290,234,281,251,279,239,276,73,67
8:00,52,32,301,249,285,225,238,220,269,228,255,204,78,59
9:00,80,59,197,163,207,151,219,175,237,151,194,180,124,83
10:00,115,69,192,150,203,155,179,126,217,177,226,177,161,103
11:00,138,101,213,157,257,175,224,146,230,175,246,194,203,132
12:00,186,118,253,182,247,220,252,177,266,202,278,217,231,160
13:00,219,168,290,234,312,230,285,242,274,213,321,280,290,211
14:00,232,174,316,293,300,287,329,306,337,330,305,306,267,220
15:00,282,248,387,372,375,393,366,390,371,388,402,383,327,281
16:00,246,198,426,388,424,393,418,383,434,385,402,370,289,234
17:00,263,197,456,413,455,396,464,409,476,434,495,398,303,213
18:00,272,194,553,463,514,482,535,459,541,496,499,437,330,219
19:00,227,202,396,340,442,344,420,352,415,368,368,319,269,188
20:00,204,141,285,226,308,212,298,269,303,251,276,227,228,152
21:00,200,134,250,160,248,206,270,207,260,215,250,188,238,144
22:00,129,113,185,129,185,153,230,162,210,166,226,143,212,145
23:00,139,140,168,132,135,143,176,154,180,160,203,152,172,117
TOTAL,3541,2658,5802,4953,5870,5123,5896,5167,6041,5319,5902,5182,4336,3108
