176 and Canyon
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,July 27 2014,,,July 28 2014,,,July 29 2014,,,July 30 2014,,,July 31 2014,,,August 01 2014,,,August 02 2014,,
TIME,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3
0:00,101,117,98,62,95,68,99,110,86,93,129,94,88,133,86,102,113,97,121,147,111
1:00,47,60,46,27,40,33,26,43,28,33,52,38,55,62,35,51,58,50,49,72,39
2:00,24,59,22,24,33,20,37,48,40,36,49,35,49,46,40,43,59,45,36,65,43
3:00,9,29,16,31,38,20,26,36,33,33,32,37,35,48,34,33,41,34,27,33,25
4:00,23,33,23,58,91,58,75,110,65,88,90,78,79,101,59,78,104,57,27,53,30
5:00,27,52,26,241,270,209,251,279,230,241,288,222,235,272,228,211,262,209,52,78,51
6:00,42,87,49,379,452,372,412,492,405,395,500,434,360,478,392,345,452,397,112,105,94
7:00,106,154,110,457,664,596,478,641,601,450,646,534,460,676,582,436,585,526,162,212,155
8:00,119,177,132,430,675,616,459,658,590,429,608,542,429,615,604,430,615,540,189,280,225
9:00,148,273,172,340,546,439,369,535,473,372,496,389,388,553,469,364,490,397,279,380,294
10:00,285,430,299,304,516,373,304,531,349,293,396,345,347,538,420,335,439,403,333,449,346
11:00,306,406,284,325,463,367,270,393,383,287,406,356,313,462,353,311,442,386,323,438,331
12:00,283,388,274,282,390,335,294,349,292,263,377,306,276,399,350,308,451,330,337,417,323
13:00,318,412,322,315,403,357,298,385,331,284,401,343,302,395,361,343,413,316,320,442,305
14:00,310,413,312,314,414,366,323,354,383,277,370,366,299,417,386,331,421,392,305,459,317
15:00,287,405,294,311,444,410,381,464,414,343,473,417,384,465,422,366,464,427,283,387,315
16:00,274,398,300,400,465,408,398,495,428,412,473,433,359,465,422,359,480,394,324,395,300
17:00,312,378,278,397,494,404,410,483,382,411,492,423,379,491,405,358,468,405,304,331,270
18:00,255,340,285,381,456,318,392,462,360,378,453,354,404,476,375,327,456,369,312,330,275
19:00,243,286,217,279,322,294,282,323,259,301,349,299,298,344,329,299,404,331,264,303,243
20:00,203,237,212,209,235,188,176,242,203,198,251,224,228,244,200,252,259,211,216,283,203
21:00,136,209,157,144,171,154,154,208,157,165,201,172,185,222,188,189,207,168,195,230,172
22:00,129,191,145,128,169,135,134,165,125,146,186,126,142,177,146,136,218,172,157,231,164
23:00,80,134,76,98,130,90,107,138,97,100,154,90,108,134,102,144,185,116,114,178,117
TOTAL,4067,5668,4149,5936,7976,6630,6155,7944,6714,6028,7872,6657,6202,8213,6988,6151,8086,6772,4841,6298,4748
