112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,March 30 2014,March 31 2014,April 01 2014,April 02 2014,April 03 2014,April 04 2014,April 05 2014
EAST LEG,7124,8545,8789,8659,8719,8939,7769
NORTH LEG,18061,27251,28182,27800,27123,28250,21527
SOUTH LEG,17679,25280,26268,25905,25694,26530,21234
WEST LEG,5344,6987,7174,7019,7209,7434,6297
TOTAL,48208,68063,70413,69383,68745,71153,56827
