112 and Canyon
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,March 30 2014,,,March 31 2014,,,April 01 2014,,,April 02 2014,,,April 03 2014,,,April 04 2014,,,April 05 2014,,
TIME,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27
0:00,234,202,167,137,122,84,177,181,134,182,169,146,180,191,130,187,178,134,229,211,172
1:00,162,153,103,83,69,52,118,114,67,137,103,80,131,106,77,119,122,72,170,145,112
2:00,94,91,71,48,38,25,65,63,32,72,63,38,78,56,36,72,77,45,97,95,67
3:00,83,81,43,33,38,23,59,58,27,75,52,29,62,50,27,67,64,34,77,76,56
4:00,76,57,40,49,35,24,64,47,33,66,57,25,69,66,31,63,51,31,73,48,23
5:00,48,47,42,75,77,55,92,101,76,98,94,55,96,88,64,106,88,67,47,50,28
6:00,79,83,44,250,228,181,238,237,186,248,233,198,254,226,182,246,212,161,113,102,75
7:00,99,79,47,312,260,204,344,278,219,332,279,242,319,303,238,332,299,214,143,102,74
8:00,115,92,63,391,309,280,416,296,261,421,315,278,383,311,256,380,277,248,176,161,117
9:00,183,136,88,377,282,259,375,280,247,399,292,262,366,287,235,368,289,235,255,185,163
10:00,230,163,159,392,292,281,381,292,260,369,269,252,413,282,235,423,319,254,302,248,192
11:00,286,266,223,399,298,283,421,364,324,384,309,279,439,331,307,430,380,342,390,308,275
12:00,372,342,252,464,358,360,438,395,424,263,387,377,442,370,360,503,393,392,452,383,324
13:00,460,403,375,515,430,454,539,451,459,466,450,453,533,439,426,478,458,462,501,467,410
14:00,541,488,415,565,514,492,585,482,480,622,483,499,584,478,498,649,567,543,549,520,471
15:00,503,477,403,650,603,569,610,586,589,537,601,583,626,604,580,627,610,604,629,643,420
16:00,486,478,403,714,741,714,736,739,693,604,764,687,667,679,657,695,753,700,595,596,522
17:00,492,449,408,793,797,760,629,847,787,713,848,769,728,801,721,641,797,735,574,569,516
18:00,480,431,383,738,881,786,710,846,742,733,844,758,718,821,763,768,811,724,546,531,468
19:00,463,412,351,664,688,605,886,709,629,698,722,687,680,703,586,773,676,601,501,485,405
20:00,419,347,309,531,488,422,494,467,440,503,488,434,496,503,441,506,511,440,448,390,362
21:00,345,286,244,421,349,323,474,396,336,470,436,406,433,424,322,458,415,358,379,359,306
22:00,275,206,172,346,318,243,409,338,306,377,332,287,370,335,273,399,347,282,351,322,271
23:00,222,204,154,249,228,162,268,245,177,281,242,199,273,262,193,327,304,237,309,269,234
TOTAL,6747,5973,4959,9196,8443,7641,9528,8812,7928,9050,8832,8023,9340,8716,7638,9617,8998,7915,7906,7265,6063
