176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,September 28 2014,September 29 2014,September 30 2014,October 01 2014,October 02 2014,October 03 2014,October 04 2014
EAST LEG,11321,14151,14655,15165,14746,16292,13238
NORTH LEG,13209,19527,20442,20769,20304,21600,15971
SOUTH LEG,6058,10727,11180,11256,11310,11474,7609
WEST LEG,7170,8668,9384,9678,9553,10463,8408
TOTAL,37758,53073,55661,56868,55913,59829,45226
